Gender,Age Group,Race,Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,American Indian/Alaskan Native,Hispanic,262,212,50
Female,16-49 years,American Indian/Alaskan Native,Not Hispanic,299,263,36
Female,16-49 years,American Indian/Alaskan Native,Unknown,561,412,149
Female,16-49 years,Asian,Hispanic,238,175,63
Female,16-49 years,Asian,Not Hispanic,10577,8368,2209
Female,16-49 years,Asian,Unknown,16118,11268,4850
Female,16-49 years,Black,Hispanic,258,205,53
Female,16-49 years,Black,Not Hispanic,6781,5710,1071
Female,16-49 years,Black,Unknown,10741,8022,2719
Female,16-49 years,Multiple Races,Hispanic,2244,1584,660
Female,16-49 years,Multiple Races,Not Hispanic,3917,3284,633
Female,16-49 years,Multiple Races,Unknown,2438,1807,631
Female,16-49 years,Native Hawaiian/Other Pacific Islander,Hispanic,15,15,0
Female,16-49 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,32,29,3
Female,16-49 years,Native Hawaiian/Other Pacific Islander,Unknown,14,11,3
Female,16-49 years,Other,Hispanic,5877,4781,1096
Female,16-49 years,Other,Not Hispanic,12574,12063,511
Female,16-49 years,Other,Unknown,6702,5595,1107
Female,16-49 years,Unknown Race,Hispanic,3795,3033,762
Female,16-49 years,Unknown Race,Not Hispanic,1923,1474,449
Female,16-49 years,Unknown Race,Unknown,159119,133834,25285
Female,16-49 years,White,Hispanic,33374,25460,7914
Female,16-49 years,White,Not Hispanic,49762,40984,8778
Female,16-49 years,White,Unknown,49830,36013,13817
Female,50-64 years,American Indian/Alaskan Native,Hispanic,55,46,9
Female,50-64 years,American Indian/Alaskan Native,Not Hispanic,159,144,15
Female,50-64 years,American Indian/Alaskan Native,Unknown,294,237,57
Female,50-64 years,Asian,Hispanic,70,50,20
Female,50-64 years,Asian,Not Hispanic,4009,3272,737
Female,50-64 years,Asian,Unknown,6491,4769,1722
Female,50-64 years,Black,Hispanic,93,78,15
Female,50-64 years,Black,Not Hispanic,4761,4069,692
Female,50-64 years,Black,Unknown,7852,5961,1891
Female,50-64 years,Multiple Races,Hispanic,584,408,176
Female,50-64 years,Multiple Races,Not Hispanic,1306,1057,249
Female,50-64 years,Multiple Races,Unknown,662,531,131
Female,50-64 years,Native Hawaiian/Other Pacific Islander,Hispanic,2,2,0
Female,50-64 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,15,14,1
Female,50-64 years,Native Hawaiian/Other Pacific Islander,Unknown,8,7,1
Female,50-64 years,Other,Hispanic,2696,2293,403
Female,50-64 years,Other,Not Hispanic,8570,8369,201
Female,50-64 years,Other,Unknown,2974,2634,340
Female,50-64 years,Unknown Race,Hispanic,1539,1321,218
Female,50-64 years,Unknown Race,Not Hispanic,1102,905,197
Female,50-64 years,Unknown Race,Unknown,86613,76693,9920
Female,50-64 years,White,Hispanic,12807,10355,2452
Female,50-64 years,White,Not Hispanic,27816,23669,4147
Female,50-64 years,White,Unknown,26476,20720,5756
Female,65-79 years,American Indian/Alaskan Native,Hispanic,34,32,2
Female,65-79 years,American Indian/Alaskan Native,Not Hispanic,76,72,4
Female,65-79 years,American Indian/Alaskan Native,Unknown,177,168,9
Female,65-79 years,Asian,Hispanic,24,23,1
Female,65-79 years,Asian,Not Hispanic,2156,2060,96
Female,65-79 years,Asian,Unknown,4187,3965,222
Female,65-79 years,Black,Hispanic,28,26,2
Female,65-79 years,Black,Not Hispanic,2293,2204,89
Female,65-79 years,Black,Unknown,3121,2845,276
Female,65-79 years,Multiple Races,Hispanic,293,271,22
Female,65-79 years,Multiple Races,Not Hispanic,1160,1117,43
Female,65-79 years,Multiple Races,Unknown,785,769,16
Female,65-79 years,Native Hawaiian/Other Pacific Islander,Hispanic,6,6,0
Female,65-79 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,12,12,0
Female,65-79 years,Native Hawaiian/Other Pacific Islander,Unknown,3,3,0
Female,65-79 years,Other,Hispanic,1249,1203,46
Female,65-79 years,Other,Not Hispanic,7767,7727,40
Female,65-79 years,Other,Unknown,2406,2346,60
Female,65-79 years,Unknown Race,Hispanic,898,876,22
Female,65-79 years,Unknown Race,Not Hispanic,507,489,18
Female,65-79 years,Unknown Race,Unknown,74020,72053,1967
Female,65-79 years,White,Hispanic,6552,6190,362
Female,65-79 years,White,Not Hispanic,22306,21486,820
Female,65-79 years,White,Unknown,27504,26339,1165
Female,80+ years,American Indian/Alaskan Native,Hispanic,4,4,0
Female,80+ years,American Indian/Alaskan Native,Not Hispanic,15,15,0
Female,80+ years,American Indian/Alaskan Native,Unknown,30,30,0
