Gender,Age Group,Race,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,27727,20424,7303
Female,16-49 years,Black,18208,14272,3936
Female,16-49 years,Hispanic,47331,36101,11230
Female,16-49 years,Other,28950,25775,3175
Female,16-49 years,White,101550,77919,23631
Female,16-49 years,Unknown,164900,137873,27027
Female,50-64 years,Asian,10949,8409,2540
Female,50-64 years,Black,13074,10407,2667
Female,50-64 years,Hispanic,18384,14876,3508
Female,50-64 years,Other,15285,14265,1020
Female,50-64 years,White,55511,45128,10383
Female,50-64 years,Unknown,90214,79494,10720
Female,65-79 years,Asian,6865,6526,339
Female,65-79 years,Black,6239,5862,377
Female,65-79 years,Hispanic,9615,9114,501
Female,65-79 years,Other,13751,13570,181
Female,65-79 years,White,53927,51756,2171
Female,65-79 years,Unknown,77349,75140,2209
Female,80+ years,Asian,1353,1344,9
Female,80+ years,Black,1183,1181,2
Female,80+ years,Hispanic,1997,1979,18
Female,80+ years,Other,16286,16273,13
Female,80+ years,White,15972,15840,132
Female,80+ years,Unknown,29231,28968,263
Female,Unknown,Asian,9,9,0
Female,Unknown,Black,10,9,1
Female,Unknown,Hispanic,28,25,3
Female,Unknown,Other,11,10,1
Female,Unknown,White,87,83,4
Female,Unknown,Unknown,543,526,17
Male,16-49 years,Asian,17927,13101,4826
Male,16-49 years,Black,7642,6046,1596
Male,16-49 years,Hispanic,24145,18500,5645
Male,16-49 years,Other,13729,11989,1740
Male,16-49 years,White,49586,38677,10909
Male,16-49 years,Unknown,95614,80618,14996
Male,50-64 years,Asian,7316,5686,1630
Male,50-64 years,Black,6343,5265,1078
Male,50-64 years,Hispanic,11283,9211,2072
Male,50-64 years,Other,8261,7539,722
Male,50-64 years,White,33277,27405,5872
Male,50-64 years,Unknown,58563,52078,6485
Male,65-79 years,Asian,6174,5888,286
Male,65-79 years,Black,4109,3912,197
Male,65-79 years,Hispanic,7517,7093,424
Male,65-79 years,Other,9687,9493,194
Male,65-79 years,White,47065,44872,2193
Male,65-79 years,Unknown,64874,62713,2161
Male,80+ years,Asian,1256,1237,19
Male,80+ years,Black,700,695,5
Male,80+ years,Hispanic,1355,1332,23
Male,80+ years,Other,6549,6536,13
Male,80+ years,White,14035,13873,162
Male,80+ years,Unknown,18798,18599,199
Male,Unknown,Asian,12,11,1
Male,Unknown,Black,4,4,0
Male,Unknown,Hispanic,18,18,0
Male,Unknown,Other,5,5,0
Male,Unknown,White,73,71,2
Male,Unknown,Unknown,341,332,9
Unknown,16-49 years,Asian,416,391,25
Unknown,16-49 years,Black,201,197,4
Unknown,16-49 years,Hispanic,470,461,9
Unknown,16-49 years,Other,898,888,10
Unknown,16-49 years,White,1162,1120,42
Unknown,16-49 years,Unknown,971,846,125
Unknown,50-64 years,Asian,252,244,8
Unknown,50-64 years,Black,157,154,3
Unknown,50-64 years,Hispanic,180,176,4
Unknown,50-64 years,Other,475,468,7
Unknown,50-64 years,White,864,835,29
Unknown,50-64 years,Unknown,462,409,53
Unknown,65-79 years,Asian,743,742,1
Unknown,65-79 years,Black,312,311,1
Unknown,65-79 years,Hispanic,395,394,1
Unknown,65-79 years,Other,1723,1722,1
Unknown,65-79 years,White,4276,4268,8
Unknown,65-79 years,Unknown,511,491,20
Unknown,80+ years,Asian,121,121,0
Unknown,80+ years,Black,41,41,0
Unknown,80+ years,Hispanic,68,68,0
Unknown,80+ years,Other,289,289,0
Unknown,80+ years,White,759,759,0
Unknown,80+ years,Unknown,120,118,2
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Other,1,1,0
Unknown,Unknown,White,2,2,0
Unknown,Unknown,Unknown,9,9,0
Texas,Total,Total,1358676,1181483,177193
Female,80+ years,Unknown Race,Hispanic,189,188
Female,80+ years,Unknown Race,Not Hispanic,91,89
Female,80+ years,Unknown Race,Unknown,28331,28121
Female,80+ years,White,Hispanic,1358,1341
Female,80+ years,White,Not Hispanic,6943,6884
Female,80+ years,White,Unknown,8057,8023
Female,Unknown,Asian,Not Hispanic,8,8
Female,Unknown,Asian,Unknown,1,1
Female,Unknown,Black,Not Hispanic,3,3
Female,Unknown,Black,Unknown,6,5
Female,Unknown,Multiple Races,Not Hispanic,3,2
Female,Unknown,Other,Hispanic,5,4
Female,Unknown,Other,Not Hispanic,2,2
Female,Unknown,Other,Unknown,5,5
Female,Unknown,Unknown Race,Hispanic,1,1
Female,Unknown,Unknown Race,Unknown,536,519
Female,Unknown,White,Hispanic,18,16
Female,Unknown,White,Not Hispanic,55,53
Female,Unknown,White,Unknown,30,28
Male,16-49 years,American Indian/Alaskan Native,Hispanic,130,105
Male,16-49 years,American Indian/Alaskan Native,Not Hispanic,153,138
Male,16-49 years,American Indian/Alaskan Native,Unknown,331,236
Male,16-49 years,Asian,Hispanic,145,105
Male,16-49 years,Asian,Not Hispanic,6805,5353
Male,16-49 years,Asian,Unknown,10415,7147
Male,16-49 years,Black,Hispanic,130,105
Male,16-49 years,Black,Not Hispanic,3055,2561
Male,16-49 years,Black,Unknown,4296,3247
Male,16-49 years,Multiple Races,Hispanic,883,637
Male,16-49 years,Multiple Races,Not Hispanic,1792,1442
Male,16-49 years,Multiple Races,Unknown,1117,856
Male,16-49 years,Native Hawaiian/Other Pacific Islander,Hispanic,8,8
Male,16-49 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,29,27
Male,16-49 years,Native Hawaiian/Other Pacific Islander,Unknown,16,14
Male,16-49 years,Other,Hispanic,3125,2512
Male,16-49 years,Other,Not Hispanic,5569,5220
Male,16-49 years,Other,Unknown,3656,3035
Male,16-49 years,Unknown Race,Hispanic,2065,1639
Male,16-49 years,Unknown Race,Not Hispanic,939,707
Male,16-49 years,Unknown Race,Unknown,92649,78468
Male,16-49 years,White,Hispanic,17053,13010
Male,16-49 years,White,Not Hispanic,23266,19305
Male,16-49 years,White,Unknown,25501,18886
Male,50-64 years,American Indian/Alaskan Native,Hispanic,50,42
Male,50-64 years,American Indian/Alaskan Native,Not Hispanic,85,69
Male,50-64 years,American Indian/Alaskan Native,Unknown,178,137
Male,50-64 years,Asian,Hispanic,54,38
Male,50-64 years,Asian,Not Hispanic,2705,2208
Male,50-64 years,Asian,Unknown,4297,3208
Male,50-64 years,Black,Hispanic,43,32
Male,50-64 years,Black,Not Hispanic,2322,2028
Male,50-64 years,Black,Unknown,3766,3026
Male,50-64 years,Multiple Races,Hispanic,316,237
Male,50-64 years,Multiple Races,Not Hispanic,735,576
Male,50-64 years,Multiple Races,Unknown,354,298
Male,50-64 years,Native Hawaiian/Other Pacific Islander,Hispanic,4,4
Male,50-64 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,9,8
Male,50-64 years,Native Hawaiian/Other Pacific Islander,Unknown,5,5
Male,50-64 years,Other,Hispanic,1671,1413
Male,50-64 years,Other,Not Hispanic,4313,4138
Male,50-64 years,Other,Unknown,1938,1680
Male,50-64 years,Unknown Race,Hispanic,1012,868
Male,50-64 years,Unknown Race,Not Hispanic,544,453
