Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,28191,20765,7426
Female,16-49 years,Black,18671,14627,4044
Female,16-49 years,Hispanic,48696,37053,11643
Female,16-49 years,White,104019,79735,24284
Female,16-49 years,Other,29530,26221,3309
Female,16-49 years,Unknown,169911,141426,28485
Female,50-64 years,Asian,11233,8646,2587
Female,50-64 years,Black,13537,10786,2751
Female,50-64 years,Hispanic,19179,15535,3644
Female,50-64 years,White,57642,46920,10722
Female,50-64 years,Other,15676,14610,1066
Female,50-64 years,Unknown,93861,82402,11459
Female,65-79 years,Asian,7207,6861,346
Female,65-79 years,Black,7217,6823,394
Female,65-79 years,Hispanic,10473,9928,545
Female,65-79 years,White,61798,59453,2345
Female,65-79 years,Other,15173,14967,206
Female,65-79 years,Unknown,82222,79718,2504
Female,80+ years,Asian,1426,1417,9
Female,80+ years,Black,1421,1418,3
Female,80+ years,Hispanic,2179,2157,22
Female,80+ years,White,17843,17680,163
Female,80+ years,Other,16786,16771,15
Female,80+ years,Unknown,30711,30387,324
Female,Unknown,Asian,10,10,0
Female,Unknown,Black,11,9,2
Female,Unknown,Hispanic,28,25,3
Female,Unknown,White,92,88,4
Female,Unknown,Other,12,11,1
Female,Unknown,Unknown,571,554,17
Male,16-49 years,Asian,18227,13349,4878
Male,16-49 years,Black,7869,6233,1636
Male,16-49 years,Hispanic,24877,19065,5812
Male,16-49 years,White,51051,39836,11215
Male,16-49 years,Other,14074,12261,1813
Male,16-49 years,Unknown,98485,82724,15761
Male,50-64 years,Asian,7531,5871,1660
Male,50-64 years,Black,6602,5497,1105
Male,50-64 years,Hispanic,11767,9630,2137
Male,50-64 years,White,34788,28718,6070
Male,50-64 years,Other,8482,7750,732
Male,50-64 years,Unknown,60897,53982,6915
Male,65-79 years,Asian,6501,6205,296
Male,65-79 years,Black,4736,4530,206
Male,65-79 years,Hispanic,8186,7731,455
Male,65-79 years,White,53648,51295,2353
Male,65-79 years,Other,10908,10692,216
Male,65-79 years,Unknown,68903,66511,2392
Male,80+ years,Asian,1320,1300,20
Male,80+ years,Black,803,796,7
Male,80+ years,Hispanic,1470,1444,26
Male,80+ years,White,15526,15323,203
Male,80+ years,Other,6844,6827,17
Male,80+ years,Unknown,19857,19609,248
Male,Unknown,Asian,12,11,1
Male,Unknown,Black,5,5,0
Male,Unknown,Hispanic,19,19,0
Male,Unknown,White,77,75,2
Male,Unknown,Other,5,5,0
Male,Unknown,Unknown,351,340,11
Unknown,16-49 years,Asian,449,418,31
Unknown,16-49 years,Black,212,208,4
Unknown,16-49 years,Hispanic,514,502,12
Unknown,16-49 years,White,1217,1167,50
Unknown,16-49 years,Other,975,957,18
Unknown,16-49 years,Unknown,991,865,126
Unknown,50-64 years,Asian,275,264,11
Unknown,50-64 years,Black,179,176,3
Unknown,50-64 years,Hispanic,201,197,4
Unknown,50-64 years,White,948,914,34
Unknown,50-64 years,Other,536,526,10
Unknown,50-64 years,Unknown,476,421,55
Unknown,65-79 years,Asian,830,827,3
Unknown,65-79 years,Black,389,386,3
Unknown,65-79 years,Hispanic,469,468,1
Unknown,65-79 years,White,4883,4874,9
Unknown,65-79 years,Other,2001,1999,2
Unknown,65-79 years,Unknown,513,492,21
Unknown,80+ years,Asian,138,138,0
Unknown,80+ years,Black,55,55,0
Unknown,80+ years,Hispanic,96,96,0
Unknown,80+ years,White,884,884,0
Unknown,80+ years,Other,351,351,0
Unknown,80+ years,Unknown,117,115,2
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,White,2,2,0
Unknown,Unknown,Other,1,1,0
Unknown,Unknown,Unknown,9,9,0
Texas,Total,Total,1426859,1241950,184909
Female,80+ years,Unknown Race,Hispanic,189,188
Female,80+ years,Unknown Race,Not Hispanic,91,89
Female,80+ years,Unknown Race,Unknown,28331,28121
Female,80+ years,White,Hispanic,1358,1341
Female,80+ years,White,Not Hispanic,6943,6884
Female,80+ years,White,Unknown,8057,8023
Female,Unknown,Asian,Not Hispanic,8,8
Female,Unknown,Asian,Unknown,1,1
Female,Unknown,Black,Not Hispanic,3,3
Female,Unknown,Black,Unknown,6,5
Female,Unknown,Multiple Races,Not Hispanic,3,2
Female,Unknown,Other,Hispanic,5,4
Female,Unknown,Other,Not Hispanic,2,2
Female,Unknown,Other,Unknown,5,5
Female,Unknown,Unknown Race,Hispanic,1,1
Female,Unknown,Unknown Race,Unknown,536,519
Female,Unknown,White,Hispanic,18,16
Female,Unknown,White,Not Hispanic,55,53
Female,Unknown,White,Unknown,30,28
Male,16-49 years,American Indian/Alaskan Native,Hispanic,130,105
Male,16-49 years,American Indian/Alaskan Native,Not Hispanic,153,138
Male,16-49 years,American Indian/Alaskan Native,Unknown,331,236
Male,16-49 years,Asian,Hispanic,145,105
Male,16-49 years,Asian,Not Hispanic,6805,5353
Male,16-49 years,Asian,Unknown,10415,7147
Male,16-49 years,Black,Hispanic,130,105
Male,16-49 years,Black,Not Hispanic,3055,2561
Male,16-49 years,Black,Unknown,4296,3247
Male,16-49 years,Multiple Races,Hispanic,883,637
Male,16-49 years,Multiple Races,Not Hispanic,1792,1442
Male,16-49 years,Multiple Races,Unknown,1117,856
Male,16-49 years,Native Hawaiian/Other Pacific Islander,Hispanic,8,8
Male,16-49 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,29,27
Male,16-49 years,Native Hawaiian/Other Pacific Islander,Unknown,16,14
Male,16-49 years,Other,Hispanic,3125,2512
Male,16-49 years,Other,Not Hispanic,5569,5220
Male,16-49 years,Other,Unknown,3656,3035
Male,16-49 years,Unknown Race,Hispanic,2065,1639
Male,16-49 years,Unknown Race,Not Hispanic,939,707
Male,16-49 years,Unknown Race,Unknown,92649,78468
Male,16-49 years,White,Hispanic,17053,13010
Male,16-49 years,White,Not Hispanic,23266,19305
Male,16-49 years,White,Unknown,25501,18886
Male,50-64 years,American Indian/Alaskan Native,Hispanic,50,42
Male,50-64 years,American Indian/Alaskan Native,Not Hispanic,85,69
Male,50-64 years,American Indian/Alaskan Native,Unknown,178,137
Male,50-64 years,Asian,Hispanic,54,38
Male,50-64 years,Asian,Not Hispanic,2705,2208
Male,50-64 years,Asian,Unknown,4297,3208
Male,50-64 years,Black,Hispanic,43,32
Male,50-64 years,Black,Not Hispanic,2322,2028
Male,50-64 years,Black,Unknown,3766,3026
Male,50-64 years,Multiple Races,Hispanic,316,237
Male,50-64 years,Multiple Races,Not Hispanic,735,576
Male,50-64 years,Multiple Races,Unknown,354,298
Male,50-64 years,Native Hawaiian/Other Pacific Islander,Hispanic,4,4
Male,50-64 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,9,8
Male,50-64 years,Native Hawaiian/Other Pacific Islander,Unknown,5,5
Male,50-64 years,Other,Hispanic,1671,1413
Male,50-64 years,Other,Not Hispanic,4313,4138
Male,50-64 years,Other,Unknown,1938,1680
Male,50-64 years,Unknown Race,Hispanic,1012,868
Male,50-64 years,Unknown Race,Not Hispanic,544,453
Male,50-64 years,Unknown Race,Unknown,56457,50378
Male,50-64 years,White,Hispanic,7833,6365
Male,50-64 years,White,Not Hispanic,16077,13663
Male,50-64 years,White,Unknown,16463,13243
Male,65-79 years,American Indian/Alaskan Native,Hispanic,28,27
Male,65-79 years,American Indian/Alaskan Native,Not Hispanic,62,58
Male,65-79 years,American Indian/Alaskan Native,Unknown,165,152
Male,65-79 years,Asian,Hispanic,28,27
Male,65-79 years,Asian,Not Hispanic,1926,1850
Male,65-79 years,Asian,Unknown,3732,3533
Male,65-79 years,Black,Hispanic,23,23
Male,65-79 years,Black,Not Hispanic,1574,1519
Male,65-79 years,Black,Unknown,1982,1849
Male,65-79 years,Multiple Races,Hispanic,174,157
Male,65-79 years,Multiple Races,Not Hispanic,838,798
Male,65-79 years,Multiple Races,Unknown,601,576
Male,65-79 years,Native Hawaiian/Other Pacific Islander,Hispanic,2,2
Male,65-79 years,Native Hawaiian/Other Pacific Islander,Not Hispanic,7,7
Male,65-79 years,Native Hawaiian/Other Pacific Islander,Unknown,7,7
Male,65-79 years,Other,Hispanic,1041,1000
Male,65-79 years,Other,Not Hispanic,4971,4927
Male,65-79 years,Other,Unknown,1951,1898
Male,65-79 years,Unknown Race,Hispanic,701,676
Male,65-79 years,Unknown Race,Not Hispanic,386,374
Male,65-79 years,Unknown Race,Unknown,62244,60271
Male,65-79 years,White,Hispanic,5085,4777
Male,65-79 years,White,Not Hispanic,19732,18840
Male,65-79 years,White,Unknown,23875,22728
Male,80+ years,American Indian/Alaskan Native,Hispanic,4,4
Male,80+ years,American Indian/Alaskan Native,Not Hispanic,16,16
Male,80+ years,American Indian/Alaskan Native,Unknown,35,34
Male,80+ years,Asian,Hispanic,4,4
Male,80+ years,Asian,Not Hispanic,376,371
Male,80+ years,Asian,Unknown,771,761
Male,80+ years,Black,Hispanic,10,10
Male,80+ years,Black,Not Hispanic,319,317
Male,80+ years,Black,Unknown,326,324
Male,80+ years,Multiple Races,Hispanic,33,31
Male,80+ years,Multiple Races,Not Hispanic,455,453
Male,80+ years,Multiple Races,Unknown,118,118
Male,80+ years,Native Hawaiian/Other Pacific Islander,Hispanic,1,1
Male,80+ years,Native Hawaiian/Other Pacific Islander,Not Hispanic,2,2
Male,80+ years,Other,Hispanic,196,193
Male,80+ years,Other,Not Hispanic,5278,5273
Male,80+ years,Other,Unknown,422,417
Male,80+ years,Unknown Race,Hispanic,141,139
Male,80+ years,Unknown Race,Not Hispanic,75,75
Male,80+ years,Unknown Race,Unknown,18220,18055
Male,80+ years,White,Hispanic,901,886
Male,80+ years,White,Not Hispanic,5635,5587
Male,80+ years,White,Unknown,7629,7546
Male,Unknown,Asian,Not Hispanic,6,5
Male,Unknown,Asian,Unknown,6,6
Male,Unknown,Black,Not Hispanic,2,2
Male,Unknown,Black,Unknown,2,2
Male,Unknown,Other,Hispanic,3,3
Male,Unknown,Other,Not Hispanic,2,2
Male,Unknown,Other,Unknown,3,3
Male,Unknown,Unknown Race,Hispanic,1,1
Male,Unknown,Unknown Race,Not Hispanic,1,1
Male,Unknown,Unknown Race,Unknown,334,325
Male,Unknown,White,Hispanic,14,14
Male,Unknown,White,Not Hispanic,47,45
Male,Unknown,White,Unknown,21,21
Unknown,16-49 years,American Indian/Alaskan Native,Hispanic,1,1
Unknown,16-49 years,American Indian/Alaskan Native,Not Hispanic,10,10
Unknown,16-49 years,American Indian/Alaskan Native,Unknown,6,5
Unknown,16-49 years,Asian,Hispanic,3,2
Unknown,16-49 years,Asian,Not Hispanic,171,160
Unknown,16-49 years,Asian,Unknown,216,203
Unknown,16-49 years,Black,Hispanic,5,5
Unknown,16-49 years,Black,Not Hispanic,104,102
Unknown,16-49 years,Black,Unknown,79,77
Unknown,16-49 years,Multiple Races,Not Hispanic,13,7
Unknown,16-49 years,Other,Hispanic,197,196
Unknown,16-49 years,Other,Not Hispanic,309,309
Unknown,16-49 years,Other,Unknown,534,532
Unknown,16-49 years,Unknown Race,Hispanic,16,15
Unknown,16-49 years,Unknown Race,Not Hispanic,17,12
Unknown,16-49 years,Unknown Race,Unknown,934,822
Unknown,16-49 years,White,Hispanic,204,198
Unknown,16-49 years,White,Not Hispanic,635,606
Unknown,16-49 years,White,Unknown,405,392
Unknown,50-64 years,American Indian/Alaskan Native,Hispanic,2,2
Unknown,50-64 years,American Indian/Alaskan Native,Not Hispanic,6,6
Unknown,50-64 years,American Indian/Alaskan Native,Unknown,2,2
Unknown,50-64 years,Asian,Hispanic,1,1
Unknown,50-64 years,Asian,Not Hispanic,125,119
Unknown,50-64 years,Asian,Unknown,102,100
Unknown,50-64 years,Black,Hispanic,2,2
Unknown,50-64 years,Black,Not Hispanic,97,94
Unknown,50-64 years,Black,Unknown,39,39
Unknown,50-64 years,Multiple Races,Not Hispanic,5,3
Unknown,50-64 years,Other,Hispanic,64,63
Unknown,50-64 years,Other,Not Hispanic,226,223
Unknown,50-64 years,Other,Unknown,201,200
Unknown,50-64 years,Unknown Race,Hispanic,14,14
Unknown,50-64 years,Unknown Race,Not Hispanic,13,8
Unknown,50-64 years,Unknown Race,Unknown,433,389
Unknown,50-64 years,White,Hispanic,73,70
Unknown,50-64 years,White,Not Hispanic,570,544
Unknown,50-64 years,White,Unknown,208,205
Unknown,65-79 years,American Indian/Alaskan Native,Not Hispanic,30,30
Unknown,65-79 years,American Indian/Alaskan Native,Unknown,9,9
Unknown,65-79 years,Asian,Hispanic,4,4
Unknown,65-79 years,Asian,Not Hispanic,448,447
Unknown,65-79 years,Asian,Unknown,232,232
Unknown,65-79 years,Black,Hispanic,4,4
Unknown,65-79 years,Black,Not Hispanic,219,219
Unknown,65-79 years,Black,Unknown,39,38
Unknown,65-79 years,Multiple Races,Hispanic,1,1
Unknown,65-79 years,Other,Hispanic,151,151
Unknown,65-79 years,Other,Not Hispanic,1172,1171
Unknown,65-79 years,Other,Unknown,325,325
Unknown,65-79 years,Unknown Race,Hispanic,19,19
Unknown,65-79 years,Unknown Race,Not Hispanic,9,9
Unknown,65-79 years,Unknown Race,Unknown,482,467
Unknown,65-79 years,White,Hispanic,159,159
Unknown,65-79 years,White,Not Hispanic,3282,3275
Unknown,65-79 years,White,Unknown,574,573
Unknown,80+ years,American Indian/Alaskan Native,Not Hispanic,1,1
Unknown,80+ years,American Indian/Alaskan Native,Unknown,1,1
Unknown,80+ years,Asian,Not Hispanic,76,76
Unknown,80+ years,Asian,Unknown,28,28
Unknown,80+ years,Black,Not Hispanic,26,26
Unknown,80+ years,Black,Unknown,7,7
Unknown,80+ years,Other,Hispanic,25,25
Unknown,80+ years,Other,Not Hispanic,194,194
Unknown,80+ years,Other,Unknown,53,53
Unknown,80+ years,Unknown Race,Hispanic,3,3
Unknown,80+ years,Unknown Race,Unknown,116,115
Unknown,80+ years,White,Hispanic,30,30
Unknown,80+ years,White,Not Hispanic,581,581
Unknown,80+ years,White,Unknown,97,97
Unknown,Unknown,Other,Unknown,1,1
Unknown,Unknown,Unknown Race,Unknown,9,9
Texas,Total,Total,Total,1307663,1138582
