Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,38994,25911,13083,,,,,,,,,
Female,16-49 years,Black,26355,18669,7686,,,,,,,,,
Female,16-49 years,Hispanic,75565,53896,21669,,,,,,,,,
Female,16-49 years,White,154761,104181,50580,,,,,,,,,
Female,16-49 years,Other,50389,37381,13008,,,,,,,,,
Female,16-49 years,Unknown,254513,186782,67731,,,,,,,,,
Female,50-64 years,Asian,17200,12495,4705,,,,,,,,,
Female,50-64 years,Black,20131,14886,5245,,,,,,,,,
Female,50-64 years,Hispanic,35079,27578,7501,,,,,,,,,
Female,50-64 years,White,94390,69465,24925,,,,,,,,,
Female,50-64 years,Other,29171,22594,6577,,,,,,,,,
Female,50-64 years,Unknown,156365,123117,33248,,,,,,,,,
Female,65-79 years,Asian,13782,12299,1483,,,,,,,,,
Female,65-79 years,Black,13757,12601,1156,,,,,,,,,
Female,65-79 years,Hispanic,23017,20899,2118,,,,,,,,,
Female,65-79 years,White,119069,107081,11988,,,,,,,,,
Female,65-79 years,Other,28434,23779,4655,,,,,,,,,
Female,65-79 years,Unknown,163509,146084,17425,,,,,,,,,
Female,80+ years,Asian,2939,2718,221,,,,,,,,,
Female,80+ years,Black,2904,2799,105,,,,,,,,,
Female,80+ years,Hispanic,4805,4499,306,,,,,,,,,
Female,80+ years,White,34503,31764,2739,,,,,,,,,
Female,80+ years,Other,32147,24500,7647,,,,,,,,,
Female,80+ years,Unknown,59143,52115,7028,,,,,,,,,
Female,Unknown,Asian,17,16,1,,,,,,,,,
Female,Unknown,Black,19,16,3,,,,,,,,,
Female,Unknown,Hispanic,42,38,4,,,,,,,,,
Female,Unknown,White,145,132,13,,,,,,,,,
Female,Unknown,Other,19,16,3,,,,,,,,,
Female,Unknown,Unknown,834,778,56,,,,,,,,,
Male,16-49 years,Asian,25318,17128,8190,,,,,,,,,
Male,16-49 years,Black,11263,8144,3119,,,,,,,,,
Male,16-49 years,Hispanic,39708,28914,10794,,,,,,,,,
Male,16-49 years,White,78344,54417,23927,,,,,,,,,
Male,16-49 years,Other,23829,17716,6113,,,,,,,,,
Male,16-49 years,Unknown,152582,112905,39677,,,,,,,,,
Male,50-64 years,Asian,12126,9136,2990,,,,,,,,,
Male,50-64 years,Black,10466,8159,2307,,,,,,,,,
Male,50-64 years,Hispanic,22520,18136,4384,,,,,,,,,
Male,50-64 years,White,59391,45667,13724,,,,,,,,,
Male,50-64 years,Other,15704,12236,3468,,,,,,,,,
Male,50-64 years,Unknown,104279,83498,20781,,,,,,,,,
Male,65-79 years,Asian,12280,10962,1318,,,,,,,,,
Male,65-79 years,Black,8924,8182,742,,,,,,,,,
Male,65-79 years,Hispanic,17693,16041,1652,,,,,,,,,
Male,65-79 years,White,102691,92004,10687,,,,,,,,,
Male,65-79 years,Other,20071,16929,3142,,,,,,,,,
Male,65-79 years,Unknown,135605,120975,14630,,,,,,,,,
Male,80+ years,Asian,2626,2390,236,,,,,,,,,
Male,80+ years,Black,1567,1485,82,,,,,,,,,
Male,80+ years,Hispanic,3195,2958,237,,,,,,,,,
Male,80+ years,White,28508,26071,2437,,,,,,,,,
Male,80+ years,Other,12836,10030,2806,,,,,,,,,
Male,80+ years,Unknown,38876,34547,4329,,,,,,,,,
Male,Unknown,Asian,18,14,4,,,,,,,,,
Male,Unknown,Black,8,8,0,,,,,,,,,
Male,Unknown,Hispanic,31,30,1,,,,,,,,,
Male,Unknown,White,118,107,11,,,,,,,,,
Male,Unknown,Other,14,12,2,,,,,,,,,
Male,Unknown,Unknown,543,505,38,,,,,,,,,
Unknown,16-49 years,Asian,819,604,215,,,,,,,,,
Unknown,16-49 years,Black,459,366,93,,,,,,,,,
Unknown,16-49 years,Hispanic,1194,931,263,,,,,,,,,
Unknown,16-49 years,White,2488,1902,586,,,,,,,,,
Unknown,16-49 years,Other,1975,1404,571,,,,,,,,,
Unknown,16-49 years,Unknown,5752,5412,340,,,,,,,,,
Unknown,50-64 years,Asian,538,429,109,,,,,,,,,
Unknown,50-64 years,Black,438,390,48,,,,,,,,,
Unknown,50-64 years,Hispanic,497,442,55,,,,,,,,,
Unknown,50-64 years,White,2031,1688,343,,,,,,,,,
Unknown,50-64 years,Other,1091,866,225,,,,,,,,,
Unknown,50-64 years,Unknown,5605,5432,173,,,,,,,,,
Unknown,65-79 years,Asian,1487,1371,116,,,,,,,,,
Unknown,65-79 years,Black,891,848,43,,,,,,,,,
Unknown,65-79 years,Hispanic,1000,944,56,,,,,,,,,
Unknown,65-79 years,White,9477,8682,795,,,,,,,,,
Unknown,65-79 years,Other,3796,3492,304,,,,,,,,,
Unknown,65-79 years,Unknown,9577,9438,139,,,,,,,,,
Unknown,80+ years,Asian,258,233,25,,,,,,,,,
Unknown,80+ years,Black,135,129,6,,,,,,,,,
Unknown,80+ years,Hispanic,169,162,7,,,,,,,,,
Unknown,80+ years,White,1701,1574,127,,,,,,,,,
Unknown,80+ years,Other,648,610,38,,,,,,,,,
Unknown,80+ years,Unknown,1398,1377,21,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,7,7,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,30,29,1,,,,,,,,,
Texas,Total,Total,2446600,1947164,499436,,,,,,,,,
