Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at Least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,92754,59755,33121
Female,16-49 years,Black,69330,45505,23966
Female,16-49 years,Hispanic,292564,198306,94658
Female,16-49 years,Other,114205,72798,41528
Female,16-49 years,Unknown,349331,205848,143505
Female,16-49 years,White,386896,251823,135828
Female,50-64 years,Asian,51707,34067,17704
Female,50-64 years,Black,69883,48057,21925
Female,50-64 years,Hispanic,194776,134939,60023
Female,50-64 years,Other,76826,49967,26907
Female,50-64 years,Unknown,229654,136911,92771
Female,50-64 years,White,336930,228567,108892
Female,65-79 years,Asian,57470,35191,22312
Female,65-79 years,Black,74531,48627,25941
Female,65-79 years,Hispanic,182868,121706,61257
Female,65-79 years,Other,92098,57950,34175
Female,65-79 years,Unknown,246189,148437,97795
Female,65-79 years,White,582604,371180,211711
Female,80+ years,Asian,11840,7178,4667
Female,80+ years,Black,15989,10507,5495
Female,80+ years,Hispanic,46354,31205,15167
Female,80+ years,Other,62195,39164,23037
Female,80+ years,Unknown,88711,55015,33709
Female,80+ years,White,165783,106120,59725
Female,Unknown,Asian,36,31,5
Female,Unknown,Black,52,41,11
Female,Unknown,Hispanic,293,249,44
Female,Unknown,Other,59,48,11
Female,Unknown,Unknown,927,804,123
Female,Unknown,White,330,280,51
Male,16-49 years,Asian,69300,46060,23355
Male,16-49 years,Black,36141,24842,11428
Male,16-49 years,Hispanic,187667,130699,57240
Male,16-49 years,Other,63455,41697,21823
Male,16-49 years,Unknown,214726,127627,87119
Male,16-49 years,White,239918,162347,78092
Male,50-64 years,Asian,42380,28472,13959
Male,50-64 years,Black,44108,31094,13154
Male,50-64 years,Hispanic,139923,98751,41326
Male,50-64 years,Other,47516,31505,16054
Male,50-64 years,Unknown,157742,95228,62542
Male,50-64 years,White,250812,174290,76927
Male,65-79 years,Asian,50438,30848,19604
Male,65-79 years,Black,48494,31726,16808
Male,65-79 years,Hispanic,136947,91175,45842
Male,65-79 years,Other,70215,44083,26149
Male,65-79 years,Unknown,204967,123078,81921
Male,65-79 years,White,498850,317190,181884
Male,80+ years,Asian,10064,6010,4062
Male,80+ years,Black,7852,5079,2779
Male,80+ years,Hispanic,28173,18868,9320
Male,80+ years,Other,28266,17775,10497
Male,80+ years,Unknown,56997,35130,21877
Male,80+ years,White,127425,79972,47499
Male,Unknown,Asian,51,39,12
Male,Unknown,Black,40,35,5
Male,Unknown,Hispanic,205,173,32
Male,Unknown,Other,51,42,9
Male,Unknown,Unknown,640,558,82
Male,Unknown,White,275,238,37
Unknown,16-49 years,Asian,1110,678,432
Unknown,16-49 years,Black,643,390,253
Unknown,16-49 years,Hispanic,1736,1105,631
Unknown,16-49 years,Other,4099,3067,1032
Unknown,16-49 years,Unknown,11294,8310,2984
Unknown,16-49 years,White,3827,2603,1224
Unknown,50-64 years,Asian,713,413,300
Unknown,50-64 years,Black,720,432,288
Unknown,50-64 years,Hispanic,937,635,302
Unknown,50-64 years,Other,5304,4620,684
Unknown,50-64 years,Unknown,10189,7757,2432
Unknown,50-64 years,White,4368,3292,1076
Unknown,65-79 years,Asian,1919,1032,887
Unknown,65-79 years,Black,1358,771,587
Unknown,65-79 years,Hispanic,1817,1108,709
Unknown,65-79 years,Other,9357,6750,2607
Unknown,65-79 years,Unknown,11712,9420,2292
Unknown,65-79 years,White,13695,7917,5778
Unknown,80+ years,Asian,325,180,145
Unknown,80+ years,Black,210,118,92
Unknown,80+ years,Hispanic,365,237,128
Unknown,80+ years,Other,1691,1235,456
Unknown,80+ years,Unknown,3407,2988,419
Unknown,80+ years,White,2673,1554,1119
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,Other,8,8,0
Unknown,Unknown,Unknown,23,20,3
Unknown,Unknown,White,10,10,0
Grand Total,Total,Total,6750339,4361563,2394362
