Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,100267,66296,34994
Female,16-49 years,Black,76428,51584,25882
Female,16-49 years,Hispanic,320957,222009,101902
Female,16-49 years,White,426976,285234,147445
Female,16-49 years,Other,119704,77195,43173
Female,16-49 years,Unknown,356893,210909,146183
Female,50-64 years,Asian,55947,37569,18905
Female,50-64 years,Black,78410,55236,23967
Female,50-64 years,Hispanic,214028,150232,65457
Female,50-64 years,White,375689,259219,120066
Female,50-64 years,Other,80940,52914,28337
Female,50-64 years,Unknown,234284,139926,94557
Female,65-79 years,Asian,60182,37112,23227
Female,65-79 years,Black,80600,52919,27942
Female,65-79 years,Hispanic,195445,130225,65893
Female,65-79 years,White,625452,396679,230455
Female,65-79 years,Other,95728,60034,35813
Female,65-79 years,Unknown,249129,149636,99672
Female,80+ years,Asian,12339,7521,4852
Female,80+ years,Black,17237,11398,5900
Female,80+ years,Hispanic,49105,33100,16155
Female,80+ years,White,177853,113769,64542
Female,80+ years,Other,63168,39692,23504
Female,80+ years,Unknown,89291,55186,34163
Female,Unknown,Asian,38,33,5
Female,Unknown,Black,60,49,11
Female,Unknown,Hispanic,309,262,47
Female,Unknown,White,360,309,52
Female,Unknown,Other,62,51,11
Female,Unknown,Unknown,933,809,124
Male,16-49 years,Asian,75673,51728,24905
Male,16-49 years,Black,40726,28947,12456
Male,16-49 years,Hispanic,207753,147626,62294
Male,16-49 years,White,268698,186465,86419
Male,16-49 years,Other,67725,45199,23055
Male,16-49 years,Unknown,219967,131059,89044
Male,50-64 years,Asian,46285,31814,14971
Male,50-64 years,Black,49748,35938,14409
Male,50-64 years,Hispanic,154531,110510,45273
Male,50-64 years,White,282328,199590,85698
Male,50-64 years,Other,50547,33754,17052
Male,50-64 years,Unknown,161375,97581,63937
Male,65-79 years,Asian,52532,32325,20337
Male,65-79 years,Black,52288,34366,18134
Male,65-79 years,Hispanic,146273,97512,49302
Male,65-79 years,White,534572,338266,197581
Male,65-79 years,Other,73001,45757,27339
Male,65-79 years,Unknown,207422,124071,83501
Male,80+ years,Asian,10451,6282,4202
Male,80+ years,Black,8391,5480,2944
Male,80+ years,Hispanic,29840,20001,9941
Male,80+ years,White,135932,85254,51011
Male,80+ years,Other,28836,18112,10735
Male,80+ years,Unknown,57330,35153,22223
Male,Unknown,Asian,56,44,13
Male,Unknown,Black,43,37,6
Male,Unknown,Hispanic,228,192,38
Male,Unknown,White,302,262,41
Male,Unknown,Other,55,46,9
Male,Unknown,Unknown,643,561,82
Unknown,16-49 years,Asian,1133,697,438
Unknown,16-49 years,Black,662,404,259
Unknown,16-49 years,Hispanic,1805,1165,683
Unknown,16-49 years,White,4611,3361,1251
Unknown,16-49 years,Other,5923,4887,1148
Unknown,16-49 years,Unknown,2953,2146,809
Unknown,50-64 years,Asian,725,424,302
Unknown,50-64 years,Black,730,443,287
Unknown,50-64 years,Hispanic,980,675,319
Unknown,50-64 years,White,5416,4330,1087
Unknown,50-64 years,Other,8610,7942,744
Unknown,50-64 years,Unknown,2246,1850,397
Unknown,65-79 years,Asian,1918,1034,884
Unknown,65-79 years,Black,1370,782,588
Unknown,65-79 years,Hispanic,1829,1120,713
Unknown,65-79 years,White,13973,8210,5764
Unknown,65-79 years,Other,10556,7977,2611
Unknown,65-79 years,Unknown,3323,2822,501
Unknown,80+ years,Asian,324,180,144
Unknown,80+ years,Black,215,122,93
Unknown,80+ years,Hispanic,365,237,128
Unknown,80+ years,White,2731,1615,1116
Unknown,80+ years,Other,1947,1502,452
Unknown,80+ years,Unknown,835,681,155
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,10,10,0
Unknown,Unknown,Unknown,15,13,2
Grand Total,Total,Total,7196586,4695684,2541063
