Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated  ,People Fully Vaccinated,,,,,,
Female,16-49 years,Asian,130963,93926,40789,,,,,,
Female,16-49 years,Black,104466,76665,32168,,,,,,
Female,16-49 years,Hispanic,453378,336593,132286,,,,,,
Female,16-49 years,White,561264,401614,180835,,,,,,
Female,16-49 years,Other,143448,96888,49088,,,,,,
Female,16-49 years,Unknown,376063,226864,152181,,,,,,
Female,50-64 years,Asian,71300,50872,22400,,,,,,
Female,50-64 years,Black,105527,78408,30761,,,,,,
Female,50-64 years,Hispanic,300231,221471,87654,,,,,,
Female,50-64 years,White,504910,367156,154552,,,,,,
Female,50-64 years,Other,97721,65342,33723,,,,,,
Female,50-64 years,Unknown,247582,150766,99340,,,,,,
Female,65-79 years,Asian,66521,41232,26111,,,,,,
Female,65-79 years,Black,98205,65373,34690,,,,,,
Female,65-79 years,Hispanic,244509,163605,85181,,,,,,
Female,65-79 years,White,733284,465655,278568,,,,,,
Female,65-79 years,Other,108288,66958,42106,,,,,,
Female,65-79 years,Unknown,257374,154072,105125,,,,,,
Female,80+ years,Asian,13528,8316,5394,,,,,,
Female,80+ years,Black,21167,14254,7438,,,,,,
Female,80+ years,Hispanic,60713,40646,21135,,,,,,
Female,80+ years,White,207805,133184,77960,,,,,,
Female,80+ years,Other,66315,41340,25161,,,,,,
Female,80+ years,Unknown,90898,55850,35597,,,,,,
Female,Unknown,Asian,51,46,7,,,,,,
Female,Unknown,Black,74,64,12,,,,,,
Female,Unknown,Hispanic,405,348,74,,,,,,
Female,Unknown,White,429,369,71,,,,,,
Female,Unknown,Other,72,61,13,,,,,,
Female,Unknown,Unknown,936,813,127,,,,,,
Male,16-49 years,Asian,102808,76250,30080,,,,,,
Male,16-49 years,Black,58441,44872,16458,,,,,,
Male,16-49 years,Hispanic,303933,230935,84343,,,,,,
Male,16-49 years,White,370405,275201,110067,,,,,,
Male,16-49 years,Other,86135,60700,27418,,,,,,
Male,16-49 years,Unknown,234697,143329,93627,,,,,,
Male,50-64 years,Asian,60454,44120,18153,,,,,,
Male,50-64 years,Black,69426,52715,19692,,,,,,
Male,50-64 years,Hispanic,223080,167561,62833,,,,,,
Male,50-64 years,White,389734,290256,113032,,,,,,
Male,50-64 years,Other,64227,44105,21185,,,,,,
Male,50-64 years,Unknown,172413,106587,67843,,,,,,
Male,65-79 years,Asian,57703,35537,22800,,,,,,
Male,65-79 years,Black,63886,42481,22718,,,,,,
Male,65-79 years,Hispanic,183365,122846,63915,,,,,,
Male,65-79 years,White,624917,395278,238401,,,,,,
Male,65-79 years,Other,83339,51315,32616,,,,,,
Male,65-79 years,Unknown,214385,127624,88270,,,,,,
Male,80+ years,Asian,11371,6862,4675,,,,,,
Male,80+ years,Black,10047,6665,3602,,,,,,
Male,80+ years,Hispanic,36798,24449,13027,,,,,,
Male,80+ years,White,156523,98093,60679,,,,,,
Male,80+ years,Other,30934,19210,11843,,,,,,
Male,80+ years,Unknown,58429,35593,23216,,,,,,
Male,Unknown,Asian,66,52,15,,,,,,
Male,Unknown,Black,49,43,6,,,,,,
Male,Unknown,Hispanic,315,274,51,,,,,,
Male,Unknown,White,360,315,53,,,,,,
Male,Unknown,Other,69,59,13,,,,,,
Male,Unknown,Unknown,631,555,76,,,,,,
Unknown,16-49 years,Asian,1200,742,500,,,,,,
Unknown,16-49 years,Black,712,444,277,,,,,,
Unknown,16-49 years,Hispanic,2601,1932,1316,,,,,,
Unknown,16-49 years,White,7389,6089,1320,,,,,,
Unknown,16-49 years,Other,16219,15026,2007,,,,,,
Unknown,16-49 years,Unknown,4092,3253,971,,,,,,
Unknown,50-64 years,Asian,769,466,317,,,,,,
Unknown,50-64 years,Black,788,489,306,,,,,,
Unknown,50-64 years,Hispanic,1520,1186,682,,,,,,
Unknown,50-64 years,White,7983,6834,1168,,,,,,
Unknown,50-64 years,Other,15761,14695,1616,,,,,,
Unknown,50-64 years,Unknown,3642,3219,495,,,,,,
Unknown,65-79 years,Asian,1913,1033,882,,,,,,
Unknown,65-79 years,Black,1424,815,616,,,,,,
Unknown,65-79 years,Hispanic,2117,1333,917,,,,,,
Unknown,65-79 years,White,14420,8602,5833,,,,,,
Unknown,65-79 years,Other,12972,9988,3170,,,,,,
Unknown,65-79 years,Unknown,3777,3253,538,,,,,,
Unknown,80+ years,Asian,323,180,144,,,,,,
Unknown,80+ years,Black,224,126,98,,,,,,
Unknown,80+ years,Hispanic,440,271,188,,,,,,
Unknown,80+ years,White,2844,1700,1147,,,,,,
Unknown,80+ years,Other,2407,1893,543,,,,,,
Unknown,80+ years,Unknown,900,729,174,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,
Unknown,Unknown,Other,13,13,0,,,,,,
Unknown,Unknown,Unknown,16,14,3,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
