Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated ,People Fully Vaccinated,,,,,,
Female,16-49 years,Asian,138574,100352,42183,,,,,,
Female,16-49 years,Black,110834,81970,33530,,,,,,
Female,16-49 years,Hispanic,485041,362358,139535,,,,,,
Female,16-49 years,White,590310,424954,187879,,,,,,
Female,16-49 years,Other,150065,101995,50905,,,,,,
Female,16-49 years,Unknown,379108,229241,153024,,,,,,
Female,50-64 years,Asian,74801,53686,23231,,,,,,
Female,50-64 years,Black,112111,83565,32521,,,,,,
Female,50-64 years,Hispanic,320362,237033,93179,,,,,,
Female,50-64 years,White,533906,390113,162226,,,,,,
Female,50-64 years,Other,102341,68398,35493,,,,,,
Female,50-64 years,Unknown,249658,152389,99979,,,,,,
Female,65-79 years,Asian,67906,41902,26861,,,,,,
Female,65-79 years,Black,101733,67659,36106,,,,,,
Female,65-79 years,Hispanic,254282,169344,89524,,,,,,
Female,65-79 years,White,752475,476365,287972,,,,,,
Female,65-79 years,Other,111091,68299,43667,,,,,,
Female,65-79 years,Unknown,258639,154341,106220,,,,,,
Female,80+ years,Asian,13779,8420,5551,,,,,,
Female,80+ years,Black,21903,14712,7759,,,,,,
Female,80+ years,Hispanic,63205,42014,22349,,,,,,
Female,80+ years,White,213459,136315,80834,,,,,,
Female,80+ years,Other,67143,41729,25624,,,,,,
Female,80+ years,Unknown,91191,55868,35897,,,,,,
Female,Unknown,Asian,51,46,7,,,,,,
Female,Unknown,Black,79,68,15,,,,,,
Female,Unknown,Hispanic,425,366,77,,,,,,
Female,Unknown,White,449,385,75,,,,,,
Female,Unknown,Other,75,64,13,,,,,,
Female,Unknown,Unknown,938,814,129,,,,,,
Male,16-49 years,Asian,109782,82188,31354,,,,,,
Male,16-49 years,Black,62779,48561,17376,,,,,,
Male,16-49 years,Hispanic,328021,250950,89482,,,,,,
Male,16-49 years,White,394426,294897,115434,,,,,,
Male,16-49 years,Other,91659,65058,28859,,,,,,
Male,16-49 years,Unknown,237434,145657,94227,,,,,,
Male,50-64 years,Asian,63771,46811,18914,,,,,,
Male,50-64 years,Black,74236,56538,21048,,,,,,
Male,50-64 years,Hispanic,240208,181076,67444,,,,,,
Male,50-64 years,White,415512,311058,119441,,,,,,
Male,50-64 years,Other,68034,46851,22460,,,,,,
Male,50-64 years,Unknown,174342,108160,68400,,,,,,
Male,65-79 years,Asian,58830,36043,23451,,,,,,
Male,65-79 years,Black,66075,43893,23624,,,,,,
Male,65-79 years,Hispanic,190981,127334,67313,,,,,,
Male,65-79 years,White,641349,404146,246763,,,,,,
Male,65-79 years,Other,85470,52315,33824,,,,,,
Male,65-79 years,Unknown,215463,127852,89198,,,,,,
Male,80+ years,Asian,11545,6909,4806,,,,,,
Male,80+ years,Black,10413,6898,3759,,,,,,
Male,80+ years,Hispanic,38324,25287,13772,,,,,,
Male,80+ years,White,160506,100118,62851,,,,,,
Male,80+ years,Other,31453,19471,12118,,,,,,
Male,80+ years,Unknown,58602,35612,23392,,,,,,
Male,Unknown,Asian,68,54,15,,,,,,
Male,Unknown,Black,54,48,6,,,,,,
Male,Unknown,Hispanic,332,288,57,,,,,,
Male,Unknown,White,377,328,57,,,,,,
Male,Unknown,Other,71,61,13,,,,,,
Male,Unknown,Unknown,631,556,75,,,,,,
Unknown,16-49 years,Asian,1226,764,507,,,,,,
Unknown,16-49 years,Black,741,471,289,,,,,,
Unknown,16-49 years,Hispanic,2672,1994,1334,,,,,,
Unknown,16-49 years,White,7516,6193,1387,,,,,,
Unknown,16-49 years,Other,16411,15171,2057,,,,,,
Unknown,16-49 years,Unknown,4193,3343,985,,,,,,
Unknown,50-64 years,Asian,782,473,324,,,,,,
Unknown,50-64 years,Black,818,505,331,,,,,,
Unknown,50-64 years,Hispanic,1572,1224,701,,,,,,
Unknown,50-64 years,White,8152,6943,1328,,,,,,
Unknown,50-64 years,Other,15971,14805,1747,,,,,,
Unknown,50-64 years,Unknown,3779,3345,511,,,,,,
Unknown,65-79 years,Asian,1910,1032,881,,,,,,
Unknown,65-79 years,Black,1436,824,626,,,,,,
Unknown,65-79 years,Hispanic,2163,1349,950,,,,,,
Unknown,65-79 years,White,14442,8600,5884,,,,,,
Unknown,65-79 years,Other,13225,10036,3396,,,,,,
Unknown,65-79 years,Unknown,3920,3350,584,,,,,,
Unknown,80+ years,Asian,323,180,144,,,,,,
Unknown,80+ years,Black,228,130,100,,,,,,
Unknown,80+ years,Hispanic,447,277,189,,,,,,
Unknown,80+ years,White,2853,1700,1161,,,,,,
Unknown,80+ years,Other,2478,1901,607,,,,,,
Unknown,80+ years,Unknown,932,731,204,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,
Unknown,Unknown,Other,16,14,2,,,,,,
Unknown,Unknown,Unknown,16,14,3,,,,,,
Grand Total,Total,Total,9204921,6275169,3148130,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
