Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,
Female,16-49 years,Asian,148719,108426,44471,,,,,,
Female,16-49 years,Black,120108,88920,36197,,,,,,
Female,16-49 years,Hispanic,531515,395965,153525,,,,,,
Female,16-49 years,White,627645,452020,199610,,,,,,
Female,16-49 years,Other,161959,109356,55670,,,,,,
Female,16-49 years,Unknown,381752,231444,153651,,,,,,
Female,50-64 years,Asian,79652,57211,24677,,,,,,
Female,50-64 years,Black,122285,89939,36692,,,,,,
Female,50-64 years,Hispanic,350554,257244,103849,,,,,,
Female,50-64 years,White,574541,417447,177394,,,,,,
Female,50-64 years,Other,111273,73259,39729,,,,,,
Female,50-64 years,Unknown,251565,154088,100389,,,,,,
Female,65-79 years,Asian,69102,42141,27867,,,,,,
Female,65-79 years,Black,107006,70270,39016,,,,,,
Female,65-79 years,Hispanic,268596,176000,97515,,,,,,
Female,65-79 years,White,774310,485219,302148,,,,,,
Female,65-79 years,Other,116624,70737,46833,,,,,,
Female,65-79 years,Unknown,255177,151689,105515,,,,,,
Female,80+ years,Asian,13997,8412,5791,,,,,,
Female,80+ years,Black,23031,15219,8450,,,,,,
Female,80+ years,Hispanic,66991,43502,24739,,,,,,
Female,80+ years,White,220240,138568,85716,,,,,,
Female,80+ years,Other,68479,42261,26445,,,,,,
Female,80+ years,Unknown,89892,54924,35581,,,,,,
Female,Unknown,Asian,49,44,7,,,,,,
Female,Unknown,Black,83,71,17,,,,,,
Female,Unknown,Hispanic,441,380,80,,,,,,
Female,Unknown,White,440,381,74,,,,,,
Female,Unknown,Other,67,61,8,,,,,,
Female,Unknown,Unknown,935,815,127,,,,,,
Male,16-49 years,Asian,119234,89883,33348,,,,,,
Male,16-49 years,Black,69243,53523,19159,,,,,,
Male,16-49 years,Hispanic,364554,278019,99902,,,,,,
Male,16-49 years,White,426233,319061,124330,,,,,,
Male,16-49 years,Other,102093,71501,33061,,,,,,
Male,16-49 years,Unknown,240285,148022,94866,,,,,,
Male,50-64 years,Asian,68293,50142,20242,,,,,,
Male,50-64 years,Black,82086,61875,23959,,,,,,
Male,50-64 years,Hispanic,266259,199247,76007,,,,,,
Male,50-64 years,White,454179,338061,132871,,,,,,
Male,50-64 years,Other,75787,51181,26037,,,,,,
Male,50-64 years,Unknown,176679,110194,68890,,,,,,
Male,65-79 years,Asian,59754,36199,24263,,,,,,
Male,65-79 years,Black,69373,45489,25497,,,,,,
Male,65-79 years,Hispanic,201807,132634,73084,,,,,,
Male,65-79 years,White,659811,411870,258501,,,,,,
Male,65-79 years,Other,90123,54466,36388,,,,,,
Male,65-79 years,Unknown,212312,125517,88491,,,,,,
Male,80+ years,Asian,11727,6904,5001,,,,,,
Male,80+ years,Black,10936,7141,4070,,,,,,
Male,80+ years,Hispanic,40518,26181,15133,,,,,,
Male,80+ years,White,165120,101642,66168,,,,,,
Male,80+ years,Other,32281,19782,12643,,,,,,
Male,80+ years,Unknown,57563,34833,23157,,,,,,
Male,Unknown,Asian,73,59,15,,,,,,
Male,Unknown,Black,60,53,7,,,,,,
Male,Unknown,Hispanic,348,303,58,,,,,,
Male,Unknown,White,375,328,57,,,,,,
Male,Unknown,Other,70,59,14,,,,,,
Male,Unknown,Unknown,637,558,79,,,,,,
Unknown,16-49 years,Asian,1244,779,510,,,,,,
Unknown,16-49 years,Black,754,474,300,,,,,,
Unknown,16-49 years,Hispanic,2729,2037,1350,,,,,,
Unknown,16-49 years,White,7588,6235,1423,,,,,,
Unknown,16-49 years,Other,16491,15127,2175,,,,,,
Unknown,16-49 years,Unknown,4341,3440,1034,,,,,,
Unknown,50-64 years,Asian,786,472,329,,,,,,
Unknown,50-64 years,Black,842,521,345,,,,,,
Unknown,50-64 years,Hispanic,1626,1262,719,,,,,,
Unknown,50-64 years,White,8362,6924,1563,,,,,,
Unknown,50-64 years,Other,16346,14677,2251,,,,,,
Unknown,50-64 years,Unknown,3990,3474,595,,,,,,
Unknown,65-79 years,Asian,1911,1032,882,,,,,,
Unknown,65-79 years,Black,1453,833,641,,,,,,
Unknown,65-79 years,Hispanic,2169,1349,956,,,,,,
Unknown,65-79 years,White,14591,8572,6069,,,,,,
Unknown,65-79 years,Other,13888,9819,4279,,,,,,
Unknown,65-79 years,Unknown,4047,3351,711,,,,,,
Unknown,80+ years,Asian,321,179,143,,,,,,
Unknown,80+ years,Black,232,133,103,,,,,,
Unknown,80+ years,Hispanic,452,279,192,,,,,,
Unknown,80+ years,White,2887,1702,1199,,,,,,
Unknown,80+ years,Other,2548,1820,766,,,,,,
Unknown,80+ years,Unknown,981,714,271,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,White,9,9,0,,,,,,
Unknown,Unknown,Other,15,10,5,,,,,,
Unknown,Unknown,Unknown,17,15,3,,,,,,
Grand Total,Total,Total,9705468,6595986,3345895,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
