Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,45036,24063,20956,,,,,,
Female,12-15 years,Black,58636,32717,25889,,,,,,
Female,12-15 years,Hispanic,386692,216552,169913,,,,,,
Female,12-15 years,Other,180521,98597,81778,,,,,,
Female,12-15 years,Unknown,17695,10599,7094,,,,,,
Female,12-15 years,White,167604,92113,75378,,,,,,
Female,16-49 years,Asian,577843,307612,277893,,,,,,
Female,16-49 years,Black,712448,397782,329379,,,,,,
Female,16-49 years,Hispanic,3251433,1817209,1533297,,,,,,
Female,16-49 years,Other,1052528,577502,492311,,,,,,
Female,16-49 years,Unknown,513234,289862,233576,,,,,,
Female,16-49 years,White,2445337,1348480,1174256,,,,,,
Female,50-64 years,Asian,191071,100249,91784,,,,,,
Female,50-64 years,Black,375328,201029,178406,,,,,,
Female,50-64 years,Hispanic,1161866,620944,551307,,,,,,
Female,50-64 years,Other,501314,259016,232897,,,,,,
Female,50-64 years,Unknown,257742,141926,119196,,,,,,
Female,50-64 years,White,1456730,783018,705648,,,,,,
Female,65-79 years,Asian,94034,47330,43037,,,,,,
Female,65-79 years,Black,209213,107439,97336,,,,,,
Female,65-79 years,Hispanic,595515,304074,274412,,,,,,
Female,65-79 years,Other,475382,226447,208033,,,,,,
Female,65-79 years,Unknown,189653,102342,87362,,,,,,
Female,65-79 years,White,1243399,631070,579185,,,,,,
Female,80+ years,Asian,17643,9014,8067,,,,,,
Female,80+ years,Black,44852,23501,20985,,,,,,
Female,80+ years,Hispanic,144019,74853,65778,,,,,,
Female,80+ years,Other,172719,84572,75724,,,,,,
Female,80+ years,Unknown,74177,40627,33575,,,,,,
Female,80+ years,White,354336,181296,165180,,,,,,
Female,Unknown,Asian,133,100,39,,,,,,
Female,Unknown,Black,215,168,59,,,,,,
Female,Unknown,Hispanic,1280,992,342,,,,,,
Female,Unknown,Other,422,295,132,,,,,,
Female,Unknown,Unknown,880,751,142,,,,,,
Female,Unknown,White,912,694,261,,,,,,
Male,12-15 years,Asian,46300,24748,21538,,,,,,
Male,12-15 years,Black,57685,32314,25331,,,,,,
Male,12-15 years,Hispanic,380819,214925,165666,,,,,,
Male,12-15 years,Other,181711,99453,82099,,,,,,
Male,12-15 years,Unknown,18518,11217,7298,,,,,,
Male,12-15 years,White,169696,93742,75832,,,,,,
Male,16-49 years,Asian,558781,307232,276859,,,,,,
Male,16-49 years,Black,574700,328840,267273,,,,,,
Male,16-49 years,Hispanic,2908264,1671518,1368543,,,,,,
Male,16-49 years,Other,971112,549226,458026,,,,,,
Male,16-49 years,Unknown,409097,241221,187493,,,,,,
Male,16-49 years,White,2222298,1253334,1081932,,,,,,
Male,50-64 years,Asian,175494,93280,85523,,,,,,
Male,50-64 years,Black,313379,172250,150384,,,,,,
Male,50-64 years,Hispanic,1054469,572802,504219,,,,,,
Male,50-64 years,Other,426221,224598,200256,,,,,,
Male,50-64 years,Unknown,210133,118742,97834,,,,,,
Male,50-64 years,White,1345449,734890,659134,,,,,,
Male,65-79 years,Asian,80040,39885,36312,,,,,,
Male,65-79 years,Black,141925,73840,66035,,,,,,
Male,65-79 years,Hispanic,467777,240064,216144,,,,,,
Male,65-79 years,Other,377598,179700,164437,,,,,,
Male,65-79 years,Unknown,162812,88250,75018,,,,,,
Male,65-79 years,White,1075700,548113,501910,,,,,,
Male,80+ years,Asian,14011,6957,6292,,,,,,
Male,80+ years,Black,20609,10848,9482,,,,,,
Male,80+ years,Hispanic,86772,44903,39484,,,,,,
Male,80+ years,Other,100915,48325,43261,,,,,,
Male,80+ years,Unknown,45070,24787,20180,,,,,,
Male,80+ years,White,254578,128893,117074,,,,,,
Male,Unknown,Asian,126,94,35,,,,,,
Male,Unknown,Black,169,131,50,,,,,,
Male,Unknown,Hispanic,1303,1009,375,,,,,,
Male,Unknown,Other,377,272,119,,,,,,
Male,Unknown,Unknown,641,543,110,,,,,,
Male,Unknown,White,800,623,217,,,,,,
Unknown,12-15 years,Asian,65,35,30,,,,,,
Unknown,12-15 years,Black,33,21,12,,,,,,
Unknown,12-15 years,Hispanic,147,102,47,,,,,,
Unknown,12-15 years,Other,85,58,27,,,,,,
Unknown,12-15 years,Unknown,83,54,29,,,,,,
Unknown,12-15 years,White,144,88,57,,,,,,
Unknown,16-49 years,Asian,2234,1244,1080,,,,,,
Unknown,16-49 years,Black,1954,1132,936,,,,,,
Unknown,16-49 years,Hispanic,18445,10811,9746,,,,,,
Unknown,16-49 years,Other,19977,11477,9623,,,,,,
Unknown,16-49 years,Unknown,7198,4456,3128,,,,,,
Unknown,16-49 years,White,13287,7164,6499,,,,,,
Unknown,50-64 years,Asian,997,543,466,,,,,,
Unknown,50-64 years,Black,1186,670,572,,,,,,
Unknown,50-64 years,Hispanic,12474,6722,6190,,,,,,
Unknown,50-64 years,Other,16123,8952,7873,,,,,,
Unknown,50-64 years,Unknown,2978,1771,1330,,,,,,
Unknown,50-64 years,White,10418,5528,5099,,,,,,
Unknown,65-79 years,Asian,1112,562,515,,,,,,
Unknown,65-79 years,Black,1112,608,528,,,,,,
Unknown,65-79 years,Hispanic,6515,3521,3105,,,,,,
Unknown,65-79 years,Other,10366,5722,4905,,,,,,
Unknown,65-79 years,Unknown,2169,1257,926,,,,,,
Unknown,65-79 years,White,9930,5222,4763,,,,,,
Unknown,80+ years,Asian,230,117,103,,,,,,
Unknown,80+ years,Black,192,111,89,,,,,,
Unknown,80+ years,Hispanic,1253,683,590,,,,,,
Unknown,80+ years,Other,2268,1296,1017,,,,,,
Unknown,80+ years,Unknown,582,355,227,,,,,,
Unknown,80+ years,White,2107,1114,1011,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,10,9,2,,,,,,
Unknown,Unknown,Other,79,74,7,,,,,,
Unknown,Unknown,Unknown,12,11,2,,,,,,
Unknown,Unknown,White,15,14,1,,,,,,
Grand Total,Total,Total,31972972,17417909,15042917,,,,,,
