Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,45508,26571,18913,24,,,,,
Female,2022-05-11 00:00:00,Black,31279,19874,11395,11,,,,,
Female,2022-05-11 00:00:00,Hispanic,263653,171668,91881,129,,,,,
Female,2022-05-11 00:00:00,Other,123446,75059,48293,107,,,,,
Female,2022-05-11 00:00:00,Unknown,23796,16379,7412,6,,,,,
Female,2022-05-11 00:00:00,White,106649,63695,42897,71,,,,,
Female,2022-12-15 00:00:00,Asian,48367,24422,21372,2581,,,,,
Female,2022-12-15 00:00:00,Black,67699,36646,29567,1490,,,,,
Female,2022-12-15 00:00:00,Hispanic,480636,263953,205644,11116,,,,,
Female,2022-12-15 00:00:00,Other,224704,116439,98906,9374,,,,,
Female,2022-12-15 00:00:00,Unknown,21263,12963,8007,295,,,,,
Female,2022-12-15 00:00:00,White,185547,97435,81069,7069,,,,,
Female,16-49,Asian,687563,316383,275692,109691,,,,,
Female,16-49,Black,877772,444633,372766,82678,,,,,
Female,16-49,Hispanic,3963020,2028761,1694238,380145,,,,,
Female,16-49,Other,1638649,775271,677373,235404,,,,,
Female,16-49,Unknown,447313,250191,184672,28128,,,,,
Female,16-49,White,2917475,1432917,1238906,359866,,,,,
Female,50-64,Asian,228259,100886,88795,44007,,,,,
Female,50-64,Black,466177,209403,187758,81718,,,,,
Female,50-64,Hispanic,1462933,676603,585582,240423,,,,,
Female,50-64,Other,905373,382406,350354,194293,,,,,
Female,50-64,Unknown,200715,106974,80088,20636,,,,,
Female,50-64,White,1753873,799187,718496,305352,,,,,
Female,65-79,Asian,111053,47813,41093,24007,,,,,
Female,65-79,Black,258456,108228,98532,57139,,,,,
Female,65-79,Hispanic,766002,333448,288134,158218,,,,,
Female,65-79,Other,849077,330385,308496,220168,,,,,
Female,65-79,Unknown,126422,66156,48311,15180,,,,,
Female,65-79,White,1504214,634196,576436,329958,,,,,
Female,80+,Asian,20834,9086,7753,4430,,,,,
Female,80+,Black,56201,24067,21532,12087,,,,,
Female,80+,Hispanic,186670,82650,70460,37093,,,,,
Female,80+,Other,280415,110591,102140,70100,,,,,
Female,80+,Unknown,45951,24455,17497,4928,,,,,
Female,80+,White,447511,187915,169983,99932,,,,,
Female,Unknown,Asian,114,88,32,0,,,,,
Female,Unknown,Black,175,142,42,,,,,,
Female,Unknown,Hispanic,1057,881,237,,,,,,
Female,Unknown,Other,200,159,44,0,,,,,
Female,Unknown,Unknown,808,701,119,,,,,,
Female,Unknown,White,707,563,182,6,,,,,
Male,2022-05-11 00:00:00,Asian,47931,28010,19893,28,,,,,
Male,2022-05-11 00:00:00,Black,31488,20114,11361,18,,,,,
Male,2022-05-11 00:00:00,Hispanic,266834,173875,92869,117,,,,,
Male,2022-05-11 00:00:00,Other,126011,76708,49213,105,,,,,
Male,2022-05-11 00:00:00,Unknown,24728,17130,7593,8,,,,,
Male,2022-05-11 00:00:00,White,111159,66274,44824,84,,,,,
Male,2022-12-15 00:00:00,Asian,49690,25133,21999,2561,,,,,
Male,2022-12-15 00:00:00,Black,66856,36251,29103,1509,,,,,
Male,2022-12-15 00:00:00,Hispanic,475788,263703,201520,10633,,,,,
Male,2022-12-15 00:00:00,Other,225312,117096,99005,9236,,,,,
Male,2022-12-15 00:00:00,Unknown,22185,13646,8282,263,,,,,
Male,2022-12-15 00:00:00,White,187180,98923,81437,6847,,,,,
Male,16-49,Asian,666569,320661,278949,100943,,,,,
Male,16-49,Black,701821,366856,301686,60800,,,,,
Male,16-49,Hispanic,3528529,1885107,1529846,283615,,,,,
Male,16-49,Other,1458421,719362,614964,189620,,,,,
Male,16-49,Unknown,386820,228972,162563,19168,,,,,
Male,16-49,White,2655308,1344026,1151916,304405,,,,,
