Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,53246,29146,24045,55,,,,,
Female,2022-05-11 00:00:00,Black,41465,23558,17874,34,,,,,
Female,2022-05-11 00:00:00,Hispanic,410806,253482,156901,443,,,,,
Female,2022-05-11 00:00:00,Other,155995,87613,68192,196,,,,,
Female,2022-05-11 00:00:00,Unknown,30253,19196,11045,14,,,,,
Female,2022-05-11 00:00:00,White,128988,72472,56391,132,,,,,
Female,2022-12-15 00:00:00,Asian,51482,24802,21910,4778,,,,,
Female,2022-12-15 00:00:00,Black,72414,37847,31360,3211,,,,,
Female,2022-12-15 00:00:00,Hispanic,549905,297609,226278,26147,,,,,
Female,2022-12-15 00:00:00,Other,240331,119937,103550,16860,,,,,
Female,2022-12-15 00:00:00,Unknown,22415,13468,8369,580,,,,,
Female,2022-12-15 00:00:00,White,195152,99163,83602,12416,,,,,
Female,16-49,Asian,708680,320251,277740,124970,,,,,
Female,16-49,Black,926124,458121,388011,102769,,,,,
Female,16-49,Hispanic,4223043,2129072,1758007,481960,,,,,
Female,16-49,Other,1722213,800898,700917,271300,,,,,
Female,16-49,Unknown,447391,250032,180510,32511,,,,,
Female,16-49,White,3007776,1455047,1261495,407091,,,,,
Female,50-64,Asian,234041,102057,89130,48283,,,,,
Female,50-64,Black,482215,211194,190285,93473,,,,,
Female,50-64,Hispanic,1540717,700884,598868,281654,,,,,
Female,50-64,Other,944551,393173,360230,213456,,,,,
Female,50-64,Unknown,198101,105230,76936,22766,,,,,
Female,50-64,White,1792662,804453,724197,333655,,,,,
Female,65-79,Asian,113474,48385,41301,25648,,,,,
Female,65-79,Black,265025,108609,99180,62676,,,,,
Female,65-79,Hispanic,797736,342293,293277,176265,,,,,
Female,65-79,Other,875853,337207,315259,233670,,,,,
Female,65-79,Unknown,123155,64283,46076,15891,,,,,
Female,65-79,White,1528508,636183,578834,350012,,,,,
Female,80+,Asian,21236,9160,7784,4725,,,,,
Female,80+,Black,57685,24205,21684,13278,,,,,
