Gender ,Agegrp (group) 1,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,58678,31060,25969,1640,,,,,
Female,2022-05-11 00:00:00,Black,46058,25541,19808,710,,,,,
Female,2022-05-11 00:00:00,Hispanic,499605,305835,187745,5978,,,,,
Female,2022-05-11 00:00:00,Other,173370,93798,74620,4923,,,,,
Female,2022-05-11 00:00:00,Unknown,32887,20716,11937,235,,,,,
Female,2022-05-11 00:00:00,White,142196,76931,61019,4235,,,,,
Female,2022-12-15 00:00:00,Asian,53574,25101,22172,6274,,,,,
Female,2022-12-15 00:00:00,Black,74721,38490,31982,4228,,,,,
Female,2022-12-15 00:00:00,Hispanic,593444,319570,239194,34588,,,,,
Female,2022-12-15 00:00:00,Other,249914,122178,105829,21734,,,,,
Female,2022-12-15 00:00:00,Unknown,23167,13966,8416,784,,,,,
Female,2022-12-15 00:00:00,White,201201,100441,84912,15761,,,,,
Female,16-49,Asian,722766,322551,278700,133240,,,,,
Female,16-49,Black,956378,467482,396432,112977,,,,,
Female,16-49,Hispanic,4381922,2197383,1792722,530319,,,,,
Female,16-49,Other,1789331,820149,716811,293798,,,,,
Female,16-49,Unknown,454957,259936,176542,33935,,,,,
Female,16-49,White,3071980,1470676,1273850,433072,,,,,
Female,50-64,Asian,245277,103027,89397,51341,,,,,
Female,50-64,Black,503589,211980,191519,100152,,,,,
Female,50-64,Hispanic,1633171,719920,611066,306127,,,,,
Female,50-64,Other,1035970,404811,371747,232750,,,,,
Female,50-64,Unknown,192843,102417,73089,22288,,,,,
Female,50-64,White,1876572,808727,728898,354073,,,,,
Female,65-79,Asian,122698,49139,41627,27211,,,,,
Female,65-79,Black,284175,108307,99325,66777,,,,,
Female,65-79,Hispanic,873321,352908,301604,191422,,,,,
Female,65-79,Other,1014566,348605,328029,256832,,,,,
Female,65-79,Unknown,117335,60760,42577,14865,,,,,
Female,65-79,White,1652600,639184,583144,371144,,,,,
Female,80+,Asian,23132,9312,7878,5071,,,,,
Female,80+,Black,61501,24186,21725,14046,,,,,
Female,80+,Hispanic,212542,87374,73851,45414,,,,,
Female,80+,Other,328447,114820,107017,81707,,,,,
Female,80+,Unknown,43954,23025,15989,4982,,,,,
Female,80+,White,491906,189528,171994,112860,,,,,
Female,Unknown,Asian,500,462,42,,,,,,
Female,Unknown,Black,304,265,43,6,,,,,
Female,Unknown,Hispanic,2249,2054,254,8,,,,,
Female,Unknown,Other,376,330,49,,,,,,
Female,Unknown,Unknown,852,750,113,,,,,,
Female,Unknown,White,1838,1679,189,10,,,,,
Male,2022-05-11 00:00:00,Asian,61606,32629,27279,1683,,,,,
Male,2022-05-11 00:00:00,Black,46448,25877,19909,657,,,,,
Male,2022-05-11 00:00:00,Hispanic,503645,308752,188837,6005,,,,,
Male,2022-05-11 00:00:00,Other,176651,95598,75884,5129,,,,,
Male,2022-05-11 00:00:00,Unknown,34010,21488,12273,251,,,,,
Male,2022-05-11 00:00:00,White,148356,80232,63587,4516,,,,,
