Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,1601,1575,5,0,,,,,
Female, 6mo-4yr,Black,678,669,1,0,,,,,
Female, 6mo-4yr,Hispanic,5888,5810,17,0,,,,,
Female, 6mo-4yr,Other,841,821,6,0,,,,,
Female, 6mo-4yr,Unknown,459,446,6,0,,,,,
Female, 6mo-4yr,White,4865,4806,17,0,,,,,
Female,2022-05-11 00:00:00,Asian,59528,31328,26190,1999,,,,,
Female,2022-05-11 00:00:00,Black,46742,25806,20032,900,,,,,
Female,2022-05-11 00:00:00,Hispanic,508538,309416,190815,8207,,,,,
Female,2022-05-11 00:00:00,Other,176229,94648,75362,6175,,,,,
Female,2022-05-11 00:00:00,Unknown,33189,20948,11930,306,,,,,
Female,2022-05-11 00:00:00,White,144306,77527,61509,5234,,,,,
Female,2022-12-15 00:00:00,Asian,53805,25129,22198,6445,,,,,
Female,2022-12-15 00:00:00,Black,75096,38593,32068,4408,,,,,
Female,2022-12-15 00:00:00,Hispanic,598085,321469,240373,36110,,,,,
Female,2022-12-15 00:00:00,Other,251249,122438,106128,22478,,,,,
Female,2022-12-15 00:00:00,Unknown,23217,14001,8391,823,,,,,
Female,2022-12-15 00:00:00,White,202016,100547,85081,16279,,,,,
Female,16-49,Asian,724056,322766,278764,133930,,,,,
Female,16-49,Black,959802,468483,397350,114184,,,,,
Female,16-49,Hispanic,4398757,2203994,1796137,535605,,,,,
Female,16-49,Other,1797599,822644,718847,296420,,,,,
Female,16-49,Unknown,456455,261731,176066,34025,,,,,
Female,16-49,White,3078858,1472299,1275035,435782,,,,,
Female,50-64,Asian,246300,103121,89383,51625,,,,,
Female,50-64,Black,505464,211985,191566,100721,,,,,
Female,50-64,Hispanic,1643207,721703,612369,308636,,,,,
Female,50-64,Other,1045237,406317,373161,234752,,,,,
Female,50-64,Unknown,192163,102122,72625,22209,,,,,
Female,50-64,White,1884450,809295,729347,355994,,,,,
Female,65-79,Asian,123395,49219,41614,27348,,,,,
Female,65-79,Black,285364,108231,99269,67025,,,,,
Female,65-79,Hispanic,879462,353721,302255,192566,,,,,
Female,65-79,Other,1023988,349828,329252,258652,,,,,
Female,65-79,Unknown,117011,60587,42339,14800,,,,,
Female,65-79,White,1659758,639293,583267,372418,,,,,
Female,80+,Asian,23267,9319,7876,5101,,,,,
Female,80+,Black,61792,24180,21722,14097,,,,,
Female,80+,Hispanic,214336,87644,74073,45820,,,,,
Female,80+,Other,331149,115022,107235,82256,,,,,
Female,80+,Unknown,43816,22951,15896,4962,,,,,
Female,80+,White,494338,189617,172109,113314,,,,,
Female,Unknown,Asian,67,53,14,0,,,,,
Female,Unknown,Black,131,105,26,0,,,,,
Female,Unknown,Hispanic,737,621,115,,,,,,
Female,Unknown,Other,141,113,28,0,,,,,
Female,Unknown,Unknown,700,615,85,0,,,,,
Female,Unknown,White,489,390,99,0,,,,,
Male, 6mo-4yr,Asian,1672,1642,7,0,,,,,
Male, 6mo-4yr,Black,663,661,,0,,,,,
Male, 6mo-4yr,Hispanic,5769,5696,20,0,,,,,
Male, 6mo-4yr,Other,944,919,4,0,,,,,
Male, 6mo-4yr,Unknown,446,432,4,0,,,,,
