County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,4468600,2525104,1998528,526576,21407691,3329659,1241763,271813,8051352
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--
Anderson,4/5N,6200,2488,2179,309,47597,8202,2051,833,20210
Andrews,9/10,1600,2294,1688,606,12825,1801,309,106,5148
Angelina,4/5N,13600,7483,6147,1336,67453,13539,6534,1752,28736
Aransas,11,1100,1494,1338,156,20955,6656,370,252,7364
Archer,2/3,700,860,719,141,7130,1721,80,13,2456
Armstrong,1,400,355,297,58,1461,396,32,86,482
Atascosa,8,2900,3188,2526,662,36791,6915,1124,651,14609
Austin,6/5S,1800,2460,2104,356,23308,5403,667,396,7932
Bailey,1,3525,1380,1271,109,5134,981,114,74,2031
Bandera,8,500,1702,1441,261,18536,5623,352,180,6353
Bastrop,7,6200,3641,2782,859,63974,11861,1462,696,27828
Baylor,2/3,1975,810,723,87,2923,886,137,97,949
Bee,11,11075,4638,4191,447,26535,3836,981,684,11508
Bell,7,41450,21225,17631,3594,255178,34957,15894,2466,90070
Bexar,8,309800,179666,133386,46280,1482211,223179,100704,17248,593004
Blanco,7,900,1929,1538,391,9449,2691,90,102,3230
Borden,9/10,0,35,33,2,537,159,9,0,167
Bosque,7,2700,1069,890,179,14611,4384,624,407,5001
Bowie,4/5N,11050,4743,3286,1457,73749,14999,6332,1467,29551
Brazoria,6/5S,29600,28899,22312,6587,269413,39812,9762,2648,100565
Brazos,7,24625,11984,10052,1932,179099,18744,7514,1414,57888
Brewster,9/10,1300,1414,1290,124,7609,1973,303,0,2655
Briscoe,1,400,545,376,169,1229,373,19,0,446
Brooks,11,800,705,619,86,5398,1257,323,246,2327
Brown,2/3,2100,1735,1195,540,30563,7318,1663,911,11227
Burleson,7,800,1066,806,260,14289,3555,143,218,5464
Burnet,7,5250,2141,1654,487,36993,9846,1823,595,12623
Caldwell,7,2400,2023,1580,443,32672,5715,1286,524,13425
Calhoun,8,1100,1555,1183,372,17099,3642,470,384,6459
Callahan,2/3,1000,907,713,194,11037,2758,146,122,4082
Cameron,11,58950,48249,38424,9825,304880,53736,29737,6315,126828
Camp,4/5N,300,698,555,143,9755,2252,207,152,3909
Carson,1,200,723,608,115,4746,1057,60,0,1645
Cass,4/5N,400,752,529,223,24043,6470,1216,550,9138
Castro,1,700,860,741,119,5737,1134,121,174,2283
Chambers,6/5S,8000,2585,2057,528,30384,4489,958,244,11627
Cherokee,4/5N,5200,3295,2681,614,40020,8738,1500,738,16298
Childress,1,1500,614,433,181,5879,1060,251,136,2342
Clay,2/3,3325,1969,1758,211,8415,2186,136,60,3034
Cochran,1,300,521,408,113,2201,439,57,0,980
Coke,9/10,0,270,240,30,2665,863,47,130,896
Coleman,2/3,800,585,475,110,6816,2028,342,162,2475
Collin,2/3,108975,69770,54273,15497,722168,97662,38139,7817,215455
Collingsworth,1,500,457,346,111,2290,539,80,92,868
Colorado,6/5S,2200,1841,1676,165,16774,4490,853,477,5970
Comal,8,15300,10380,7717,2663,107432,23901,5457,1845,33412
Comanche,2/3,1875,1846,1410,436,10911,3234,330,292,3769
Concho,9/10,100,228,204,24,3650,661,76,66,1524
Cooke,2/3,3100,2229,1973,256,31083,7072,948,552,11237
Coryell,7,5125,3544,3028,516,58952,7115,1178,610,22549
Cottle,2/3,0,79,68,11,1099,339,5,0,432
Crane,9/10,1175,525,418,107,3506,532,71,110,1359
Crockett,9/10,0,415,388,27,2802,588,31,56,1096
Crosby,1,1375,1130,997,133,4469,1053,98,115,1814
