County Name,Public Health Region (PHR),Vaccine Doses Distributed,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Texas,--,773000,282515,282515,0,22448443,3769216,1591521,270194
Anderson,4/5N,1800,64,64,0,49346,8955,2590,833
Andrews,9/10,600,435,435,0,13954,1905,401,106
Angelina,4/5N,5400,833,833,0,70388,14706,7603,1752
Aransas,11,0,89,89,0,19727,6538,542,252
Archer,2/3,100,112,112,0,7533,1887,107,59
Armstrong,1,0,19,19,0,1693,588,37,86
Atascosa,8,1200,443,443,0,39065,7743,1181,655
Austin,6/5S,500,116,116,0,25584,6512,1069,396
Bailey,1,200,72,72,0,5190,1024,156,74
Bandera,8,100,89,89,0,19833,6530,426,186
Bastrop,7,500,552,552,0,70499,14746,2137,696
Baylor,2/3,200,69,69,0,3002,916,156,97
Bee,11,400,145,145,0,26904,4202,1219,684
Bell,7,7075,2148,2148,0,265191,37371,20144,2466
Bexar,8,73050,23092,23092,0,1541803,248261,127752,17100
Blanco,7,0,60,60,0,10177,3274,167,102
Borden,9/10,0,0,0,0,580,206,10,0
Bosque,7,600,68,68,0,15491,4847,677,407
Bowie,4/5N,3725,440,440,0,78179,16917,7877,1532
Brazoria,6/5S,3800,3863,3863,0,295635,48145,13914,2648
Brazos,7,5075,1201,1201,0,185835,21605,10756,1278
Brewster,9/10,400,60,60,0,7291,1942,548,0
Briscoe,1,0,10,10,0,1295,443,18,0
Brooks,11,100,35,35,0,5438,1441,396,246
Brown,2/3,600,540,540,0,31586,8452,1886,911
Burleson,7,200,94,94,0,14721,3981,203,218
Burnet,7,1100,385,385,0,39423,11162,2391,595
Caldwell,7,300,282,282,0,33813,6558,1744,524
Calhoun,8,400,135,135,0,17169,3944,608,254
Callahan,2/3,200,178,178,0,11666,3185,310,122
Cameron,11,9925,5881,5881,0,315242,59778,33067,6480
Camp,4/5N,0,66,66,0,10054,2412,353,154
Carson,1,0,62,62,0,4769,1096,77,0
Cass,4/5N,100,123,123,0,24447,7203,1609,550
Castro,1,100,110,110,0,5574,1267,152,174
Chambers,6/5S,1000,212,212,0,34171,5692,1101,120
Cherokee,4/5N,1900,291,291,0,41571,9380,1837,809
Childress,1,200,131,131,0,5769,1177,276,136
Clay,2/3,100,143,143,0,8544,2430,175,60
Cochran,1,0,84,84,0,2167,497,66,0
Coke,9/10,0,25,25,0,2839,957,47,130
Coleman,2/3,200,98,98,0,6555,2051,418,162
Collin,2/3,17900,6735,6735,0,806242,118818,56174,7544
Collingsworth,1,0,37,37,0,2177,574,94,92
Colorado,6/5S,100,100,100,0,17682,5065,1057,477
Comal,8,3600,1047,1047,0,125758,29676,7125,1845
Comanche,2/3,100,222,222,0,11046,3438,418,292
Concho,9/10,0,18,18,0,2381,528,81,66
Cooke,2/3,100,158,158,0,32501,7977,1347,552
Coryell,7,700,323,323,0,58277,6832,1291,594
Cottle,2/3,0,532,532,0,1120,400,5,0
Crane,9/10,100,102,102,0,3483,625,95,110
Crockett,9/10,0,12,12,0,2687,716,45,56
Crosby,1,100,98,98,0,4386,1236,127,115
Culberson,9/10,100,22,22,0,1797,529,79,0
Dallam,1,100,16,16,0,5092,691,95,0
Dallas,2/3,81575,19585,19585,0,2015538,284171,183122,21354
Dawson,9/10,100,30,30,0,9997,1927,385,112
Deaf Smith,1,200,198,198,0,14288,2472,316,228
Delta,4/5N,0,38,38,0,4312,1312,437,100
Denton,2/3,8400,3794,3794,0,702429,94410,34569,5667
DeWitt,8,300,58,58,0,16610,4251,421,438
Dickens,1,0,10,10,0,1840,546,29,0
Dimmit,8,100,105,105,0,7130,1517,226,175
Donley,1,0,19,19,0,2655,798,47,74
Duval,11,0,74,74,0,8359,2073,107,150
Eastland,2/3,400,116,116,0,14718,4181,1021,405
Ector,9/10,3900,778,778,0,123303,16788,6730,1016
Edwards,8,0,19,19,0,1605,586,27,0
El Paso,9/10,26975,15954,15954,0,640715,111036,46429,8546
Ellis,2/3,1300,1369,1369,0,146536,26120,5259,1781
Erath,2/3,100,197,197,0,34869,6466,1793,481
Falls,7,100,33,33,0,14306,3332,413,187
Fannin,2/3,1100,518,518,0,29681,7609,1161,693
Fayette,7,600,286,286,0,21209,6683,1251,647
Fisher,2/3,0,9,9,0,3139,996,184,28
Floyd,1,0,14,14,0,4283,1207,156,68
Foard,2/3,0,15,15,0,937,323,9,80
Fort Bend,6/5S,12550,7053,7053,0,626861,97435,33263,4965
Franklin,4/5N,100,48,48,0,8327,2189,181,163
Freestone,7,500,24,24,0,16551,4068,718,261
Frio,8,500,310,310,0,15133,2573,226,270
Gaines,9/10,400,139,139,0,14875,2237,348,95
Galveston,6/5S,12725,4651,4651,0,267032,50119,15388,2824
Garza,1,0,18,18,0,5021,727,52,75
Gillespie,8,900,344,344,0,22728,8108,1453,706
Glasscock,9/10,0,4,4,0,1108,296,28,0
Goliad,8,0,52,52,0,6615,2077,59,135
Gonzales,8,400,111,111,0,15931,3700,626,256
Gray,1,200,112,112,0,17050,3428,927,315
Grayson,2/3,7650,981,981,0,107568,25224,10711,1989
Gregg,4/5N,4625,1156,1156,0,97771,19676,10046,2328
Grimes,7,300,145,145,0,23692,5592,422,311
Guadalupe,8,2000,1476,1476,0,130156,24014,5123,1292
Hale,1,1200,364,364,0,25066,4629,1308,399
Hall,1,0,18,18,0,2399,745,42,72
Hamilton,7,400,68,68,0,6957,2150,503,296
Hansford,1,200,137,137,0,3992,874,163,84
Hardeman,2/3,100,127,127,0,3017,769,118,16
Hardin,6/5S,1600,256,256,0,47640,10521,1237,527
Harris,6/5S,150475,45182,45182,0,3573784,490810,281834,27084
Harrison,4/5N,400,288,288,0,53015,11647,3586,608
Hartley,1,100,10,10,0,4850,899,203,94
Haskell,2/3,0,22,22,0,4635,1242,136,68
Hays,7,4075,1886,1886,0,183387,29281,7680,1557
Hemphill,1,300,39,39,0,2788,547,113,98
Henderson,4/5N,1300,146,146,0,67614,18942,2628,932
Hidalgo,11,24975,6374,6374,0,649795,102347,62827,16918
Hill,7,100,185,185,0,29221,8003,1219,523
Hockley,1,200,288,288,0,17482,3513,795,263
Hood,2/3,900,360,360,0,50235,15761,2493,862
Hopkins,4/5N,400,134,134,0,29578,7446,1680,620
Houston,4/5N,700,170,170,0,19208,5038,1114,426
Howard,9/10,800,266,266,0,28821,4493,1826,454
Hudspeth,9/10,0,31,31,0,2968,818,35,0
Hunt,2/3,3325,1010,1010,0,77702,16832,4485,947
Hutchinson,1,200,143,143,0,15984,3458,545,246
Irion,9/10,0,9,9,0,1345,412,19,0
Jack,2/3,0,29,29,0,7488,1604,226,149
Jackson,8,600,79,79,0,11172,2670,422,237
Jasper,4/5N,800,96,96,0,28248,7271,1952,374
Jeff Davis,9/10,0,10,10,0,2146,846,29,0
Jefferson,6/5S,7375,910,910,0,198728,36802,16838,2497
Jim Hogg,11,0,49,49,0,3764,898,35,60
Jim Wells,11,300,274,274,0,29988,6423,4090,1033
Johnson,2/3,800,1218,1218,0,135188,26669,5142,1260
Jones,2/3,0,140,140,0,16827,3127,400,340
Karnes,8,100,43,43,0,12523,2489,396,244
Kaufman,2/3,1475,909,909,0,104736,19164,4062,1176
Kendall,8,1100,572,572,0,38074,9979,2094,801
Kenedy,11,0,1,1,0,315,94,1,0
Kent,2/3,0,0,0,0,633,235,14,60
Kerr,8,1300,437,437,0,43611,14400,3557,1022
Kimble,9/10,100,61,61,0,3844,1379,104,0
King,1,0,3,3,0,233,60,5,0
Kinney,8,0,1,1,0,2931,889,19,0
Kleberg,11,300,104,104,0,25862,4574,1835,341
Knox,2/3,0,60,60,0,2861,823,117,127
La Salle,8,0,25,25,0,6105,1224,37,60
Lamar,4/5N,1200,572,572,0,40212,10314,3737,745
Lamb,1,200,131,131,0,9647,2400,541,226
Lampasas,7,0,116,116,0,17275,4497,436,284
Lavaca,8,600,276,276,0,16041,4537,881,620
Lee,7,300,85,85,0,13837,3373,363,226
Leon,7,200,61,61,0,14066,4292,256,74
Liberty,6/5S,500,139,139,0,70912,13765,2505,614
Limestone,7,100,32,32,0,19033,4691,2488,1060
Lipscomb,1,0,18,18,0,2496,636,31,61
Live Oak,11,0,26,26,0,9966,2656,55,100
Llano,7,0,130,130,0,18642,7523,340,358
Loving,9/10,0,0,0,0,83,34,1,0
Lubbock,1,24800,7070,7070,0,243899,41235,24699,4151
Lynn,1,0,66,66,0,4820,1113,212,40
Madison,7,200,42,42,0,11353,2256,314,258
Marion,4/5N,0,31,31,0,8117,2491,372,158
Martin,9/10,300,32,32,0,4306,880,184,0
Mason,9/10,100,102,102,0,3567,1322,126,0
Matagorda,6/5S,1100,68,68,0,28353,6359,1540,369
Maverick,8,500,450,450,0,42357,7656,3716,1198
McCulloch,9/10,100,16,16,0,6675,2024,303,122
McLennan,7,4350,2117,2117,0,198642,37827,14401,3591
McMullen,11,0,3,3,0,640,256,13,0
Medina,8,100,367,367,0,42991,9239,1165,811
Menard,9/10,0,46,46,0,1759,687,15,40
Midland,9/10,2650,818,818,0,132357,17262,7414,1391
Milam,7,300,65,65,0,19805,5508,693,254
Mills,7,100,39,39,0,3970,1369,186,152
Mitchell,2/3,300,142,142,0,7087,1476,310,96
Montague,2/3,100,88,88,0,15803,4504,678,383
Montgomery,6/5S,18400,2324,2324,0,470846,84212,25684,3769
Moore,1,200,165,165,0,15513,2464,477,176
Morris,4/5N,100,126,126,0,9938,2901,146,179
Motley,1,0,6,6,0,1016,403,20,50
Nacogdoches,4/5N,2400,736,736,0,52561,10458,3380,851
Navarro,2/3,300,255,255,0,40888,9624,2099,869
Newton,4/5N,100,13,13,0,11070,2715,101,113
Nolan,2/3,100,138,138,0,10998,2627,692,251
Nueces,11,13625,4590,4590,0,282299,51768,30463,4100
Ochiltree,1,200,106,106,0,7508,1186,218,114
Oldham,1,0,32,32,0,1714,417,20,0
Orange,6/5S,200,172,172,0,65680,14828,2217,554
Palo Pinto,2/3,0,41,41,0,23268,5869,1093,283
Panola,4/5N,500,59,59,0,19325,4774,784,377
Parker,2/3,2000,811,811,0,112329,24963,4236,1301
Parmer,1,100,48,48,0,7111,1387,171,174
Pecos,9/10,600,380,380,0,11723,2090,458,120
Polk,4/5N,1200,129,129,0,41511,10157,1578,574
Potter,1,11425,2834,2834,0,89806,16187,12650,1877
Presidio,9/10,0,25,25,0,5092,1503,38,0
Rains,4/5N,100,60,60,0,10262,3084,221,68
Randall,1,1300,4745,4745,0,109144,21784,4683,869
Reagan,9/10,0,14,14,0,2900,544,62,42
Real,8,0,14,14,0,2882,1135,27,86
Red River,4/5N,0,85,85,0,9511,2902,490,252
Reeves,9/10,100,15,15,0,13004,2131,308,89
Refugio,11,300,269,269,0,5497,1635,242,64
Roberts,1,0,7,7,0,673,210,20,0
Robertson,7,200,64,64,0,14216,3542,273,252
Rockwall,2/3,100,804,804,0,81869,14227,4867,1327
Runnels,2/3,400,204,204,0,7992,2310,499,312
Rusk,4/5N,200,181,181,0,44061,9463,1914,749
Sabine,4/5N,600,27,27,0,9116,3288,790,186
San Augustine,4/5N,300,31,31,0,6982,2335,413,337
San Jacinto,4/5N,200,58,58,0,23713,6477,230,190
San Patricio,11,200,340,340,0,51382,10700,1409,396
San Saba,7,0,12,12,0,5108,1536,95,72
Schleicher,9/10,0,44,44,0,2184,564,71,34
Scurry,2/3,400,47,47,0,12956,2503,560,128
Shackelford,2/3,0,25,25,0,2694,694,122,0
Shelby,4/5N,500,66,66,0,18618,4285,754,369
Sherman,1,0,10,10,0,2368,524,34,42
Smith,4/5N,10550,1283,1283,0,181426,38833,24195,2911
Somervell,2/3,0,51,51,0,7769,2079,263,220
Starr,11,1100,888,888,0,46042,7973,5154,1966
Stephens,2/3,0,18,18,0,7614,1989,282,92
Sterling,9/10,0,5,5,0,1019,306,9,44
Stonewall,2/3,100,5,5,0,1136,425,66,80
Sutton,9/10,0,27,27,0,2909,758,102,0
Swisher,1,0,103,103,0,5843,1484,146,61
Tarrant,2/3,56950,14109,14109,0,1596169,246738,117603,18366
Taylor,2/3,4425,3738,3738,0,108531,20790,13362,2443
Terrell,9/10,0,19,19,0,652,245,13,0
Terry,1,300,209,209,0,9564,1942,478,178
