County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents"
Texas,--,439502,439502,0,22448443,3769216,1591521,270194
Anderson,4/5N,253,253,0,49346,8955,2590,833
Andrews,9/10,573,573,0,13954,1905,401,106
Angelina,4/5N,1119,1119,0,70388,14706,7603,1752
Aransas,11,183,183,0,19727,6538,542,252
Archer,2/3,141,141,0,7533,1887,107,59
Armstrong,1,38,38,0,1693,588,37,86
Atascosa,8,598,598,0,39065,7743,1181,655
Austin,6/5S,277,277,0,25584,6512,1069,396
Bailey,1,105,105,0,5190,1024,156,74
Bandera,8,214,214,0,19833,6530,426,186
Bastrop,7,939,939,0,70499,14746,2137,696
Baylor,2/3,95,95,0,3002,916,156,97
Bee,11,242,242,0,26904,4202,1219,684
Bell,7,3379,3379,0,265191,37371,20144,2466
Bexar,8,37186,37186,0,1541803,248261,127752,17100
Blanco,7,87,87,0,10177,3274,167,102
Borden,9/10,3,3,0,580,206,10,0
Bosque,7,122,122,0,15491,4847,677,407
Bowie,4/5N,1160,1160,0,78179,16917,7877,1532
Brazoria,6/5S,5148,5148,0,295635,48145,13914,2648
Brazos,7,1464,1464,0,185835,21605,10756,1278
Brewster,9/10,96,96,0,7291,1942,548,0
Briscoe,1,23,23,0,1295,443,18,0
Brooks,11,101,101,0,5438,1441,396,246
Brown,2/3,576,576,0,31586,8452,1886,911
Burleson,7,162,162,0,14721,3981,203,218
Burnet,7,506,506,0,39423,11162,2391,595
Caldwell,7,436,436,0,33813,6558,1744,524
Calhoun,8,366,366,0,17169,3944,608,254
Callahan,2/3,195,195,0,11666,3185,310,122
Cameron,11,8282,8282,0,315242,59778,33067,6480
Camp,4/5N,121,121,0,10054,2412,353,154
Carson,1,136,136,0,4769,1096,77,0
Cass,4/5N,200,200,0,24447,7203,1609,550
Castro,1,129,129,0,5574,1267,152,174
Chambers,6/5S,309,309,0,34171,5692,1101,120
Cherokee,4/5N,614,614,0,41571,9380,1837,809
Childress,1,214,214,0,5769,1177,276,136
Clay,2/3,187,187,0,8544,2430,175,60
Cochran,1,105,105,0,2167,497,66,0
