County Name,Public Health Region (PHR),Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,541512,527533,13979,22448443,3769216,1591521,270194,9499038
Anderson,4/5N,268,268,0,49346,8955,2590,833,24078
Andrews,9/10,589,583,6,13954,1905,401,106,5867
Angelina,4/5N,1823,1820,3,70388,14706,7603,1752,34525
Aransas,11,221,220,1,19727,6538,542,252,10102
Archer,2/3,163,152,11,7533,1887,107,59,3131
Armstrong,1,66,66,0,1693,588,37,86,659
Atascosa,8,707,704,3,39065,7743,1181,655,17891
Austin,6/5S,416,416,0,25584,6512,1069,396,10132
Bailey,1,110,110,0,5190,1024,156,74,2359
Bandera,8,243,242,1,19833,6530,426,186,9348
Bastrop,7,1050,1022,28,70499,14746,2137,696,34606
Baylor,2/3,99,99,0,3002,916,156,97,1287
Bee,11,295,295,0,26904,4202,1219,684,13037
Bell,7,3720,3713,7,265191,37371,20144,2466,105279
Bexar,8,42594,42264,330,1541803,248261,127752,17100,696450
Blanco,7,107,106,1,10177,3274,167,102,4572
Borden,9/10,6,6,0,580,206,10,0,228
Bosque,7,228,226,2,15491,4847,677,407,7171
Bowie,4/5N,1242,1239,3,78179,16917,7877,1532,36179
Brazoria,6/5S,6240,5996,244,295635,48145,13914,2648,119229
Brazos,7,1878,1876,2,185835,21605,10756,1278,64988
Brewster,9/10,149,149,0,7291,1942,548,0,3547
Briscoe,1,33,33,0,1295,443,18,0,642
Brooks,11,108,108,0,5438,1441,396,246,2867
Brown,2/3,624,621,3,31586,8452,1886,911,14261
Burleson,7,189,188,1,14721,3981,203,218,7277
Burnet,7,544,543,1,39423,11162,2391,595,17381
Caldwell,7,480,479,1,33813,6558,1744,524,16400
Calhoun,8,422,421,1,17169,3944,608,254,7841
Callahan,2/3,202,202,0,11666,3185,310,122,5346
Cameron,11,10875,10867,8,315242,59778,33067,6480,149238
Camp,4/5N,139,139,0,10054,2412,353,154,4991
Carson,1,208,205,3,4769,1096,77,0,2031
Cass,4/5N,225,225,0,24447,7203,1609,550,12120
Castro,1,160,158,2,5574,1267,152,174,2718
Chambers,6/5S,389,379,10,34171,5692,1101,120,13721
Cherokee,4/5N,679,679,0,41571,9380,1837,809,20430
Childress,1,297,296,1,5769,1177,276,136,2845
Clay,2/3,214,202,12,8544,2430,175,60,4071
Cochran,1,130,130,0,2167,497,66,0,1139
Coke,9/10,45,41,4,2839,957,47,130,1324
Coleman,2/3,208,208,0,6555,2051,418,162,3427
Collin,2/3,15451,14981,470,806242,118818,56174,7544,256993
Collingsworth,1,111,110,1,2177,574,94,92,1084
Colorado,6/5S,264,264,0,17682,5065,1057,477,7953
Comal,8,2652,2640,12,125758,29676,7125,1845,45927
Comanche,2/3,451,450,1,11046,3438,418,292,5170
Concho,9/10,33,30,3,2381,528,81,66,1923
Cooke,2/3,344,337,7,32501,7977,1347,552,14449
Coryell,7,639,638,1,58277,6832,1291,594,25149
Cottle,2/3,823,821,2,1120,400,5,0,608
Crane,9/10,111,111,0,3483,625,95,110,1547
Crockett,9/10,29,29,0,2687,716,45,56,1307
Crosby,1,146,144,2,4386,1236,127,115,2252
Culberson,9/10,60,60,0,1797,529,79,0,972
Dallam,1,44,44,0,5092,691,95,0,2336
Dallas,2/3,37305,35774,1531,2015538,284171,183122,21354,820238
Dawson,9/10,99,95,4,9997,1927,385,112,5005
Deaf Smith,1,437,434,3,14288,2472,316,228,6265
Delta,4/5N,61,61,0,4312,1312,437,100,2090
Denton,2/3,9378,9105,273,702429,94410,34569,5667,276089
DeWitt,8,160,159,1,16610,4251,421,438,7926
Dickens,1,16,16,0,1840,546,29,0,943
Dimmit,8,167,167,0,7130,1517,226,175,4018
Donley,1,121,121,0,2655,798,47,74,1278
Duval,11,164,162,2,8359,2073,107,150,4543
