County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, Phase 1B Any Medical Condition"
Texas,--,3213025,1678517,1431089,247428,22448443,3769216,1591521,270194,9499038
Federal Long-Term Care Vaccination Program,--,731250,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,1912,1828,84,49346,8955,2590,833,24078
Andrews,9/10,1100,1371,1096,275,13954,1905,401,106,5867
Angelina,4/5N,11200,5449,5004,445,70388,14706,7603,1752,34525
Aransas,11,600,995,917,78,19727,6538,542,252,10102
Archer,2/3,400,520,451,69,7533,1887,107,59,3131
Armstrong,1,200,256,249,7,1693,588,37,86,659
Atascosa,8,2900,1786,1532,254,39065,7743,1181,655,17891
Austin,6/5S,1400,1457,1372,85,25584,6512,1069,396,10132
Bailey,1,1475,444,415,29,5190,1024,156,74,2359
Bandera,8,200,1238,1141,97,19833,6530,426,186,9348
Bastrop,7,3200,2548,2303,245,70499,14746,2137,696,34606
Baylor,2/3,1575,458,428,30,3002,916,156,97,1287
Bee,11,4625,2904,2786,118,26904,4202,1219,684,13037
Bell,7,27300,16485,13974,2511,265191,37371,20144,2466,105279
Bexar,8,235400,127442,99527,27915,1541803,248261,127752,17100,696450
Blanco,7,300,1128,1089,39,10177,3274,167,102,4572
Borden,9/10,0,26,26,0,580,206,10,0,228
Bosque,7,1900,779,750,29,15491,4847,677,407,7171
Bowie,4/5N,8850,3415,2781,634,78179,16917,7877,1532,36179
Brazoria,6/5S,14600,20631,16708,3923,295635,48145,13914,2648,119229
Brazos,7,16125,7560,6745,815,185835,21605,10756,1278,64988
Brewster,9/10,1000,635,609,26,7291,1942,548,0,3547
Briscoe,1,100,159,158,1,1295,443,18,0,642
Brooks,11,600,307,303,4,5438,1441,396,246,2867
Brown,2/3,1600,1246,1002,244,31586,8452,1886,911,14261
Burleson,7,600,580,530,50,14721,3981,203,218,7277
Burnet,7,2800,1542,1338,204,39423,11162,2391,595,17381
Caldwell,7,1200,1406,1277,129,33813,6558,1744,524,16400
Calhoun,8,1000,1084,961,123,17169,3944,608,254,7841
Callahan,2/3,700,615,477,138,11666,3185,310,122,5346
Cameron,11,39850,33860,29164,4696,315242,59778,33067,6480,149238
Camp,4/5N,100,484,426,58,10054,2412,353,154,4991
Carson,1,200,479,464,15,4769,1096,77,0,2031
Cass,4/5N,300,479,408,71,24447,7203,1609,550,12120
Castro,1,700,526,467,59,5574,1267,152,174,2718
Chambers,6/5S,4200,1803,1636,167,34171,5692,1101,120,13721
Cherokee,4/5N,4200,2309,2145,164,41571,9380,1837,809,20430
Childress,1,900,489,451,38,5769,1177,276,136,2845
Clay,2/3,1275,603,507,96,8544,2430,175,60,4071
Cochran,1,100,429,355,74,2167,497,66,0,1139
Coke,9/10,0,160,138,22,2839,957,47,130,1324
Coleman,2/3,600,439,407,32,6555,2051,418,162,3427
Collin,2/3,47375,45443,38871,6572,806242,118818,56174,7544,256993
Collingsworth,1,300,311,304,7,2177,574,94,92,1084
Colorado,6/5S,600,752,709,43,17682,5065,1057,477,7953
Comal,8,9200,6874,5688,1186,125758,29676,7125,1845,45927
Comanche,2/3,1475,815,776,39,11046,3438,418,292,5170
