County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition"
Texas,--,3898700,2290936,1842287,448649,23418623,4073596,1241763,271813,8591155
Federal Long-Term Care Vaccination Program,--,853125,--,--,--,--,--,--,--,--
Anderson,4/5N,4700,2371,2131,240,48781,9138,2051,833,20337
Andrews,9/10,1600,2263,1664,599,16893,2253,309,106,6837
Angelina,4/5N,12200,6854,5790,1064,70305,15150,6534,1752,29398
Aransas,11,600,1309,1174,135,23448,7843,370,252,8037
Archer,2/3,400,740,615,125,6824,1770,80,13,2295
Armstrong,1,200,340,289,51,1648,587,32,86,481
Atascosa,8,2900,2998,2361,637,40483,8111,1124,651,15830
Austin,6/5S,1400,2021,1733,288,24384,6516,667,396,7916
Bailey,1,2450,1361,1254,107,5684,1126,114,74,2229
Bandera,8,200,1547,1306,241,18258,6338,352,180,5865
Bastrop,7,4500,3435,2718,717,68916,15121,1462,696,28727
Baylor,2/3,1575,789,724,65,2887,898,137,97,927
Bee,11,7550,4245,3941,304,27790,4468,981,684,11824
Bell,7,33650,20272,16962,3310,264909,38752,15894,2466,92498
Bexar,8,276025,164961,121887,43074,1649172,273788,100704,17248,647806
Blanco,7,300,1646,1366,280,9721,3295,90,102,3072
Borden,9/10,0,35,33,2,594,220,9,0,165
Bosque,7,2000,1004,862,142,14388,4658,624,407,4758
Bowie,4/5N,10050,4296,3143,1153,75454,16868,6332,1467,29469
Brazoria,6/5S,16900,26456,20597,5859,299211,51114,9762,2648,108666
Brazos,7,18025,10329,8734,1595,188279,22891,7514,1414,59705
Brewster,9/10,1000,870,784,86,7247,1989,303,0,2477
Briscoe,1,100,255,210,45,1289,451,19,0,437
Brooks,11,600,455,393,62,5481,1484,323,246,2246
Brown,2/3,1700,1730,1192,538,31624,8722,1663,911,11062
Burleson,7,800,967,755,212,14273,3996,143,218,5231
Burnet,7,3975,1989,1582,407,39401,11506,1823,595,12971
Caldwell,7,1400,1924,1532,392,35286,7157,1286,524,14008
Calhoun,8,1000,1530,1191,339,17873,4223,470,384,6552
Callahan,2/3,700,870,684,186,11212,3157,146,122,3971
Cameron,11,50250,45907,36793,9114,319351,62948,29737,6315,129484
Camp,4/5N,100,664,527,137,10475,2553,207,152,4127
Carson,1,200,681,583,98,4650,1082,60,0,1591
Cass,4/5N,300,668,473,195,24308,7443,1216,550,8770
Castro,1,700,817,703,114,5315,1256,121,174,2013
Chambers,6/5S,5400,2316,1942,374,33361,5780,958,244,12384
Cherokee,4/5N,5200,3101,2584,517,40660,9365,1500,738,16305
Childress,1,1100,610,430,180,5784,1221,251,136,2218
Clay,2/3,2250,1658,1479,179,8023,2403,136,60,2737
Cochran,1,100,499,388,111,2524,612,57,0,1063
Coke,9/10,0,227,198,29,2653,899,47,130,872
Coleman,2/3,600,576,466,110,6728,2157,342,162,2363
Collin,2/3,61275,64385,51046,13339,841758,131278,38139,7817,245116
Collingsworth,1,300,363,327,36,2451,685,80,92,876
Colorado,6/5S,1600,962,807,155,16882,4927,853,477,5810
Comal,8,9700,9623,7216,2407,122316,29374,5457,1845,37177
Comanche,2/3,1775,1771,1382,389,10333,3319,330,292,3444
Concho,9/10,100,217,192,25,3656,847,76,66,1433
Cooke,2/3,1900,2087,1849,238,32061,8164,948,552,11184
Coryell,7,3750,3291,2912,379,61429,7340,1178,610,23529
Cottle,2/3,0,60,49,11,1240,450,5,0,450
Crane,9/10,1175,504,401,103,4793,899,71,110,1780
Crockett,9/10,0,377,366,11,3170,903,31,56,1122
Crosby,1,1175,688,558,130,5020,1466,98,115,1887
Culberson,9/10,400,165,124,41,1820,571,67,0,712
Dallam,1,1475,893,873,20,5258,703,40,0,2159
Dallas,2/3,299125,166678,136028,30650,2114319,310440,142713,21399,759433
Dawson,9/10,600,616,565,51,10637,2054,304,112,4575
Deaf Smith,1,1700,1329,1062,267,13191,2358,238,147,5243
Delta,4/5N,0,269,208,61,4362,1380,379,100,1518
Denton,2/3,54125,36336,28383,7953,740206,105630,23806,5913,270964
DeWitt,8,800,860,657,203,17638,4589,319,438,6603
Dickens,1,0,111,99,12,1878,591,21,0,665
Dimmit,8,2750,1613,1487,126,8764,1840,238,175,3801
Donley,1,100,351,317,34,2774,876,27,65,911
Duval,11,300,965,865,100,9023,2267,69,150,3641
Eastland,2/3,900,1177,930,247,14611,4258,860,389,5114
Ector,9/10,19900,13932,11745,2187,140862,19134,5303,1016,58795
Edwards,8,0,137,109,28,1626,612,24,0,538
El Paso,9/10,108125,95440,77070,18370,664164,120770,35065,8383,249418
Ellis,2/3,4800,8837,6977,1860,140959,26556,3985,1994,53083
Erath,2/3,1000,1924,1615,309,34043,6437,1250,481,12119
Falls,7,2650,1146,1038,108,13589,3260,328,187,5412
