County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Texas,--,4504525,4155797,2966029,1189768,22421178,3734229,1241763,271813,8302974,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,,,
Anderson,4/5N,6200,3925,2739,1186,48045,8658,2051,833,20206,,,
Andrews,44449,1600,2991,2360,631,13503,1833,309,106,5450,,,
Angelina,4/5N,15700,13376,9028,4348,67056,14422,6534,1752,28054,,,
Aransas,11,1100,2976,2222,754,19803,6791,370,252,6701,,,
Archer,44230,700,1747,1203,544,6921,1677,80,13,2381,,,
Armstrong,1,400,542,345,197,1499,470,32,86,466,,,
Atascosa,8,3600,4647,3303,1344,38768,7605,1124,651,15239,,,
Austin,6/5S,2000,4614,3573,1041,23704,5933,667,396,7873,,,
Bailey,1,5475,2443,1438,1005,5089,1036,114,74,1982,,,
Bandera,8,500,2552,2049,503,19763,6439,352,180,6555,,,
Bastrop,7,7500,5701,3908,1793,68839,13865,1462,696,29356,,,
Baylor,44230,2950,1508,851,657,2793,844,137,97,908,,,
Bee,11,16925,8329,5558,2771,26496,4091,981,684,11359,,,
Bell,7,49450,35887,24624,11263,272969,40534,15894,2466,95066,,,
Bexar,8,378050,288351,202549,85802,1552823,247843,100704,17248,614646,,,
Blanco,7,900,1888,1566,322,10092,3004,90,102,3388,,,
Borden,44449,0,68,51,17,543,174,9,0,163,,,
Bosque,7,2900,2665,1656,1009,15224,4741,624,407,5126,,,
Bowie,4/5N,13350,6767,4509,2258,73689,15832,6332,1467,29102,,,
Brazoria,6/5S,32000,50953,35230,15723,287683,45752,9762,2648,105966,,,
Brazos,7,29100,21931,16087,5844,186843,21693,7514,1414,59619,,,
Brewster,44449,1300,2299,1938,361,7706,2231,303,0,2579,,,
Briscoe,1,400,518,372,146,1272,404,19,0,452,,,
Brooks,11,900,1211,987,224,5317,1308,323,246,2253,,,
Brown,44230,2700,3589,2563,1026,30883,7720,1663,911,11188,,,
Burleson,7,800,2093,1529,564,14869,3867,143,218,5600,,,
Burnet,7,6425,4616,3554,1062,39239,10999,1823,595,13132,,,
Caldwell,7,3300,3348,2317,1031,34853,6512,1286,524,14114,,,
Calhoun,8,1200,2632,1858,774,16817,3981,470,384,6161,,,
Callahan,44230,1000,1586,1139,447,11263,2958,146,122,4094,,,
Cameron,11,76750,75586,52432,23154,311689,58607,29737,6315,127806,,,
Camp,4/5N,300,1121,828,293,10031,2494,207,152,3927,,,
Carson,1,200,1118,736,382,4718,1250,60,0,1547,,,
Cass,4/5N,500,1205,813,392,24182,6856,1216,550,9010,,,
Castro,1,800,1291,936,355,5607,1236,121,174,2168,,,
Chambers,6/5S,9200,4245,2874,1371,33062,5259,958,244,12484,,,
Cherokee,4/5N,6100,5402,3736,1666,40876,9444,1500,738,16376,,,
Childress,1,1500,1252,740,512,6094,1165,251,136,2395,,,
Clay,44230,4300,2789,2222,567,8666,2484,136,60,3011,,,
Cochran,1,400,595,474,121,2188,468,57,0,956,,,
Coke,44449,0,479,347,132,2756,947,47,130,899,,,
Coleman,44230,800,985,621,364,6721,2119,342,162,2379,,,
Collin,44230,120750,147143,111840,35303,801716,116575,38139,7817,236374,,,
Collingsworth,1,500,540,372,168,2263,555,80,92,847,,,
Colorado,6/5S,2400,3097,2472,625,17107,4850,853,477,5957,,,
Comal,8,17500,21378,16410,4968,125307,28528,5457,1845,38712,,,
Comanche,44230,2850,2699,1541,1158,10944,3330,330,292,3738,,,
Concho,44449,300,533,453,80,2288,689,76,66,815,,,
Cooke,44230,4100,4607,3284,1323,32675,7804,948,552,11640,,,
Coryell,7,7075,6354,4527,1827,60428,8040,1178,610,22789,,,
Cottle,44230,0,155,107,48,1123,339,5,0,446,,,
Crane,44449,2150,841,676,165,3554,594,71,110,1353,,,
Crockett,44449,0,822,574,248,2694,612,31,56,1031,,,
Crosby,1,2350,1415,1155,260,4421,1085,98,115,1771,,,
Culberson,44449,400,377,297,80,1746,480,67,0,722,,,
Dallam,1,4800,2496,1760,736,5217,857,40,0,2067,,,
Dallas,44230,456375,337619,242766,94853,2028105,292117,142713,21399,730851,,,
Dawson,44449,700,984,788,196,9789,1898,304,112,4206,,,
Deaf Smith,1,1900,2382,1666,716,13439,2423,238,147,5332,,,
Delta,4/5N,200,555,433,122,4222,1118,379,100,1580,,,
Denton,44230,104750,84570,60527,24043,697330,93499,23806,5913,257836,,,
DeWitt,8,800,1753,1215,538,16110,4035,319,438,6110,,,
Dickens,1,0,284,252,32,1858,525,21,0,689,,,
Dimmit,8,5975,3042,2590,452,7539,1749,238,175,3179,,,
Donley,1,200,577,394,183,2716,804,27,65,918,,,
Duval,11,700,2147,1488,659,8600,2031,69,150,3541,,,
Eastland,44230,1100,1855,1244,611,14970,4054,860,389,5393,,,
Ector,44449,33300,25144,19819,5325,120896,15970,5303,1016,50679,,,
Edwards,8,0,194,167,27,1555,561,24,0,528,,,
El Paso,44449,162575,156506,108165,48341,640180,105175,35065,8383,245567,,,
Ellis,44230,14300,23806,18047,5759,141665,24288,3985,1994,54463,,,
Erath,44230,2400,4138,3074,1064,34875,6256,1250,481,12564,,,
Falls,7,5575,2079,1761,318,14049,3226,328,187,5671,,,
Fannin,44230,8375,4733,3296,1437,28874,6588,962,614,10987,,,
Fayette,7,1400,2986,2342,644,20879,6679,998,647,6844,,,
Fisher,44230,600,500,432,68,3088,961,101,28,1061,,,
Floyd,1,600,1096,811,285,4371,1070,132,68,1723,,,
Foard,44230,400,508,377,131,962,315,7,80,332,,,
Fort Bend,6/5S,97850,134227,96192,38035,616413,93851,24721,4977,175581,,,
Franklin,4/5N,900,1231,884,347,8554,2367,169,163,2871,,,
Freestone,7,1200,1342,925,417,15808,3996,553,261,6319,,,
Frio,8,3475,2807,2003,804,16121,2499,186,166,6797,,,
Gaines,44449,1400,1499,940,559,14548,1907,323,95,6156,,,
Galveston,6/5S,56950,62455,42180,20275,269280,50987,11784,2830,96486,,,
Garza,1,400,439,364,75,5325,719,33,75,2197,,,
Gillespie,8,6700,5306,4087,1219,22307,8110,1175,706,6815,,,
Glasscock,44449,0,290,265,25,1099,210,23,0,426,,,
Goliad,8,200,1501,992,509,6281,1832,39,135,2282,,,
Gonzales,8,1700,2556,1747,809,15937,3572,550,256,6356,,,
Gray,1,1400,2604,1747,857,16924,3531,689,315,6978,,,
Grayson,44230,24100,15910,10961,4949,107521,24182,9338,2131,40586,,,
Gregg,4/5N,23800,14687,10633,4054,95544,19451,7025,2324,37362,,,
Grimes,7,1400,2389,1720,669,23245,5134,234,311,9653,,,
Guadalupe,8,16625,17011,12446,4565,130517,23614,3801,1225,49282,,,
Hale,1,3300,4380,2977,1403,25476,4604,873,399,10561,,,
Hall,1,0,732,567,165,2406,711,27,72,978,,,
Hamilton,7,1800,1690,1117,573,6832,2146,481,296,2427,,,
Hansford,1,700,886,644,242,3987,812,139,84,1616,,,
Hardeman,44230,1000,1263,856,407,3190,912,102,16,1146,,,
Hardin,6/5S,5400,7076,5307,1769,45112,9762,1003,527,16190,,,
Harris,6/5S,764875,604922,418396,186526,3601939,514167,225769,27623,1408024,,,
Harrison,4/5N,4200,4840,3524,1316,51900,11607,3063,608,20509,,,
Hartley,1,1475,1311,891,420,4561,861,196,94,1669,,,
Haskell,44230,600,1020,792,228,4831,1266,123,68,1872,,,
Hays,7,28550,27771,20676,7095,183380,26187,5488,1907,61462,,,
Hemphill,1,1300,996,627,369,2827,606,104,98,1066,,,
Henderson,4/5N,5000,7586,5498,2088,67238,18534,2043,998,26544,,,
Hidalgo,11,160975,117875,82034,35841,620824,98328,54962,17074,286328,,,
Hill,7,1900,4305,2911,1394,29198,7684,862,523,11381,,,
Hockley,1,1200,3220,2459,761,17799,3453,483,263,6829,,,
Hood,44230,4500,7298,5807,1491,50193,15416,1720,867,16867,,,
Hopkins,4/5N,3100,3337,2499,838,29175,6887,1192,620,11166,,,
Houston,4/5N,2000,2249,1438,811,18929,5176,634,538,7399,,,
Howard,44449,3100,2990,1918,1072,29544,4813,1456,454,12143,,,
Hudspeth,44449,300,641,472,169,3979,775,33,0,1778,,,
Hunt,44230,8150,9895,6424,3471,77878,15810,4112,947,31096,,,
Hutchinson,1,1000,2446,1772,674,16258,3581,504,246,6098,,,
Irion,44449,0,194,139,55,1234,328,15,0,429,,,
Jack,44230,1100,1164,860,304,7230,1515,198,149,2732,,,
Jackson,8,3750,2645,2023,622,11425,2720,380,237,4205,,,
Jasper,4/5N,7200,4904,4321,583,28056,7187,1597,374,11687,,,
Jeff Davis,44449,200,661,607,54,2180,812,28,0,685,,,
Jefferson,6/5S,41200,23431,18309,5122,197382,37595,13127,2431,90120,,,
Jim Hogg,11,300,1385,913,472,3791,890,14,60,1572,,,
Jim Wells,11,6675,8735,6335,2400,30579,6358,3897,985,12474,,,
Johnson,44230,7400,15812,10775,5037,135345,25151,3559,1471,53224,,,
Jones,44230,500,1666,1245,421,17011,3188,337,254,6981,,,
Karnes,8,2000,1826,1371,455,12669,2211,370,244,5177,,,
Kaufman,44230,5550,13984,9560,4424,102341,16113,2857,1189,40613,,,
Kendall,8,2900,6311,4540,1771,37890,9152,1091,801,12702,,,
Kenedy,11,0,119,110,9,321,68,1,0,139,,,
Kent,44230,0,181,131,50,615,201,13,60,198,,,
Kerr,8,5300,6039,4611,1428,43793,14769,2805,1022,13990,,,
Kimble,44449,700,688,607,81,3651,1288,90,0,1243,,,
King,1,0,35,29,6,205,51,7,0,69,,,
Kinney,8,200,479,409,70,3050,910,11,0,1171,,,
Kleberg,11,10175,7913,6928,985,24188,4046,1401,341,9265,,,
Knox,44230,700,954,670,284,2808,736,95,127,976,,,
La Salle,8,4400,2575,1777,798,6212,1018,22,60,2410,,,
Lamar,4/5N,6500,6889,5330,1559,39402,9726,3115,745,14986,,,
Lamb,1,600,2467,1671,796,9740,2240,454,226,3968,,,
Lampasas,7,800,1762,1369,393,17366,4322,348,284,6457,,,
Lavaca,8,2300,2948,1836,1112,16004,4775,820,612,5435,,,
Lee,7,800,1502,1070,432,13993,3219,334,226,5333,,,
Leon,7,900,1126,754,372,13946,4334,155,74,4662,,,
Liberty,6/5S,9175,5832,3897,1935,66868,11399,1398,614,28567,,,
Limestone,7,1700,1899,1287,612,18871,4670,2332,1060,7512,,,
Lipscomb,1,200,550,397,153,2520,617,24,61,919,,,
Live Oak,11,400,1596,1166,430,10055,2533,35,100,3769,,,
Llano,7,1200,2703,2218,485,18908,8119,277,358,5362,,,
Loving,44449,0,28,27,1,129,23,0,0,50,,,
Lubbock,1,95200,73015,51298,21717,244992,39476,20974,4093,83028,,,
Lynn,1,400,1000,654,346,4496,974,191,40,1838,,,
Madison,7,900,899,626,273,11595,2264,299,258,4451,,,
Marion,4/5N,0,641,424,217,8277,2697,351,158,3058,,,
Martin,44449,800,1175,897,278,4136,659,165,0,1624,,,
Mason,44449,400,747,609,138,3521,1250,104,0,1147,,,
Matagorda,6/5S,2900,2884,1974,910,28247,6391,1113,369,11409,,,
Maverick,8,9100,5230,4178,1052,42606,7003,2970,1198,18727,,,
McCulloch,44449,1200,891,754,137,6435,1792,212,122,2275,,,
McLennan,7,34950,32204,23669,8535,200781,37728,11153,3621,71906,,,
McMullen,11,100,112,104,8,616,189,10,0,202,,,
Medina,8,2600,6194,4490,1704,41263,8757,899,536,16090,,,
Menard,44449,200,484,409,75,1790,699,9,40,550,,,
Midland,44449,32275,27421,22513,4908,131025,18438,5950,1288,49538,,,
Milam,7,2700,3180,2039,1141,19689,5245,532,297,7641,,,
Mills,7,300,833,572,261,4006,1416,149,152,1305,,,
Mitchell,44230,1000,947,668,279,6958,1259,265,96,2753,,,
Montague,44230,2350,3173,2289,884,15872,4444,560,383,5668,,,
Montgomery,6/5S,74300,65149,45395,19754,467232,81457,20255,3836,157396,,,
Moore,1,1500,4973,3984,989,14986,2372,448,176,6143,,,
Morris,4/5N,500,937,625,312,9830,2730,77,179,3692,,,
Motley,1,0,196,150,46,994,368,22,50,319,,,
Nacogdoches,4/5N,8700,10120,6438,3682,51773,9953,2530,755,19948,,,
Navarro,44230,7100,7594,6524,1070,38360,8651,1720,869,15775,,,
Newton,4/5N,900,1513,1294,219,11298,2878,55,113,4648,,,
Nolan,44230,2200,2410,1704,706,11321,2737,519,251,4249,,,
Nueces,11,74275,45392,29183,16209,284366,54069,25582,4100,113767,,,
Ochiltree,1,1300,1216,794,422,7106,1148,200,114,2812,,,
Oldham,1,300,423,268,155,1728,316,18,0,654,,,
Orange,6/5S,1600,6154,5101,1053,65087,13729,1456,548,26244,,,
Palo Pinto,44230,1800,2172,1552,620,23207,5893,864,283,8796,,,
Panola,4/5N,1600,1793,1278,515,18462,4589,473,377,7117,,,
Parker,44230,15350,17806,12531,5275,111686,22331,2890,1301,40567,,,
Parmer,1,800,1867,1325,542,7222,1366,161,174,2910,,,
Pecos,44449,2000,2928,2390,538,12317,2141,400,120,5047,,,
Polk,4/5N,4300,6046,4618,1428,42276,9733,1184,574,17118,,,
