County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,
Texas,--,12425575,8176731,5463132,2871034,22421178,3734229,1241763,271813,8302974,850859,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,
Federal Pharmacy Retail Vaccination Program,--,1575810,--,--,--,--,--,--,--,--,--,,
Anderson,4/5N,10200,7093,4715,2696,48045,8658,2051,833,20206,1574,,
Andrews,9/10,3900,6820,4691,2217,13503,1833,309,106,5450,41,,
Angelina,4/5N,32400,21085,13904,7312,67056,14422,6534,1752,28054,3266,,
Aransas,11,2700,7478,4841,2715,19803,6791,370,252,6701,39,,
Archer,2/3,1800,2991,1753,1278,6921,1677,80,13,2381,330,,
Armstrong,1,1200,732,450,286,1499,470,32,86,466,0,,
Atascosa,8,8600,9582,6458,3312,38768,7605,1124,651,15239,1557,,
Austin,6/5S,4200,9040,6483,2813,23704,5933,667,396,7873,1079,,
Bailey,1,16885,2997,1734,1266,5089,1036,114,74,1982,0,,
Bandera,8,1600,6045,4084,2117,19763,6439,352,180,6555,20,,
Bastrop,7,25200,16372,11922,4778,68839,13865,1462,696,29356,2746,,
Baylor,2/3,3950,1745,961,788,2793,844,137,97,908,0,,
Bee,11,48460,12568,7333,5264,26496,4091,981,684,11359,989,,
Bell,7,116990,65249,43190,24726,272969,40534,15894,2466,95066,12910,,
Bexar,8,752120,565549,364179,206000,1552823,247843,100704,17248,614646,61232,,
Blanco,7,3100,3659,2508,1213,10092,3004,90,102,3388,303,,
Borden,9/10,0,167,119,52,543,174,9,0,163,0,,
Bosque,7,5600,5658,3930,1913,15224,4741,624,407,5126,579,,
Bowie,4/5N,32230,16243,10845,6051,73689,15832,6332,1467,29102,3303,,
Brazoria,6/5S,109540,105499,69158,38604,287683,45752,9762,2648,105966,12034,,
Brazos,7,71670,53615,37699,17413,186843,21693,7514,1414,59619,6083,,
Brewster,9/10,3200,4937,3303,1710,7706,2231,303,0,2579,255,,
Briscoe,1,800,768,442,330,1272,404,19,0,452,0,,
Brooks,11,2000,3309,2288,1027,5317,1308,323,246,2253,22,,
Brown,2/3,9700,6768,4800,2050,30883,7720,1663,911,11188,1112,,
Burleson,7,2300,4662,3251,1583,14869,3867,143,218,5600,518,,
Burnet,7,19435,12156,8463,3942,39239,10999,1823,595,13132,94,,
Caldwell,7,7500,8010,5749,2656,34853,6512,1286,524,14114,1294,,
Calhoun,8,2600,4317,3044,1468,16817,3981,470,384,6161,53,,
Callahan,2/3,2200,3203,2182,1038,11263,2958,146,122,4094,442,,
Cameron,11,158455,144101,93465,53416,311689,58607,29737,6315,127806,17059,,
Camp,4/5N,1100,2632,1747,917,10031,2494,207,152,3927,0,,
Carson,1,1000,1776,1095,683,4718,1250,60,0,1547,240,,
Cass,4/5N,2400,4273,3080,1333,24182,6856,1216,550,9010,1125,,
Castro,1,2000,2383,1509,895,5607,1236,121,174,2168,341,,
Chambers,6/5S,22300,9334,6269,3099,33062,5259,958,244,12484,1539,,
Cherokee,4/5N,10300,9868,6085,3995,40876,9444,1500,738,16376,1511,,
Childress,1,3000,2167,1431,756,6094,1165,251,136,2395,0,,
Clay,2/3,8145,4849,2676,2190,8666,2484,136,60,3011,384,,
Cochran,1,1000,1030,732,324,2188,468,57,0,956,0,,
