County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",
Texas,--,21385845,14689729,9415753,5831374,22421178,3734229,1241763,271813,8302974,850859,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,
Federal Pharmacy Retail Vaccination Program,--,4126230,--,--,--,--,--,--,--,--,--,
Anderson,4/5N,15270,11685,7763,4974,48045,8658,2051,833,20206,1574,
Andrews,44449,6000,9901,5457,4568,13503,1833,309,106,5450,41,
Angelina,4/5N,49600,34186,22073,13455,67056,14422,6534,1752,28054,3266,
Aransas,11,6540,13879,8542,5799,19803,6791,370,252,6701,39,
Archer,44230,2800,4382,2622,2023,6921,1677,80,13,2381,330,
Armstrong,1,1900,935,558,397,1499,470,32,86,466,0,
Atascosa,8,16600,17520,11548,6743,38768,7605,1124,651,15239,1557,
Austin,6/5S,6600,16668,11748,5992,23704,5933,667,396,7873,1079,
Bailey,1,23135,3601,2102,1684,5089,1036,114,74,1982,0,
Bandera,8,3600,10505,6718,4362,19763,6439,352,180,6555,20,
Bastrop,7,43000,33033,21059,13220,68839,13865,1462,696,29356,2746,
Baylor,44230,5050,2273,1377,924,2793,844,137,97,908,0,
Bee,11,74510,15800,8895,7233,26496,4091,981,684,11359,989,
Bell,7,191800,100239,61719,43300,272969,40534,15894,2466,95066,12910,
Bexar,8,1202410,966723,609132,382554,1552823,247843,100704,17248,614646,61232,
Blanco,7,4600,7004,4586,2668,10092,3004,90,102,3388,303,
Borden,44449,0,272,168,134,543,174,9,0,163,0,
Bosque,7,9400,8868,5428,3950,15224,4741,624,407,5126,579,
Bowie,4/5N,56570,26609,15898,12644,73689,15832,6332,1467,29102,3303,
Brazoria,6/5S,187080,184944,114315,77505,287683,45752,9762,2648,105966,12034,
Brazos,7,139020,104955,70580,37740,186843,21693,7514,1414,59619,6083,
Brewster,44449,4800,7124,4241,3290,7706,2231,303,0,2579,255,
Briscoe,1,1200,893,494,435,1272,404,19,0,452,0,
Brooks,11,3200,4859,2703,2204,5317,1308,323,246,2253,22,
Brown,44230,14000,12836,8404,7037,30883,7720,1663,911,11188,1112,
Burleson,7,4200,8305,5276,3500,14869,3867,143,218,5600,518,
Burnet,7,30995,20752,13240,8870,39239,10999,1823,595,13132,94,
Caldwell,7,12400,16196,10566,6902,34853,6512,1286,524,14114,1294,
Calhoun,8,5600,10073,6428,4674,16817,3981,470,384,6161,53,
Callahan,44230,3200,5155,2966,2381,11263,2958,146,122,4094,442,
Cameron,11,264825,248442,159205,99339,311689,58607,29737,6315,127806,17059,
Camp,4/5N,1800,4320,2723,1742,10031,2494,207,152,3927,0,
Carson,1,1700,2346,1351,1043,4718,1250,60,0,1547,240,
Cass,4/5N,4600,7883,4812,3764,24182,6856,1216,550,9010,1125,
Castro,1,2800,3370,2022,1467,5607,1236,121,174,2168,341,
Chambers,6/5S,32800,14029,9031,5253,33062,5259,958,244,12484,1539,
Cherokee,4/5N,15970,15312,9629,6712,40876,9444,1500,738,16376,1511,
Childress,1,4300,3271,1864,1649,6094,1165,251,136,2395,0,
Clay,44230,12645,5635,3119,2670,8666,2484,136,60,3011,384,
Cochran,1,1400,3222,2539,829,2188,468,57,0,956,0,
Coke,44449,0,1598,930,700,2756,947,47,130,899,0,
Coleman,44230,3100,3097,1945,1278,6721,2119,342,162,2379,289,
Collin,44230,600460,587745,373093,229204,801716,116575,38139,7817,236374,34589,
Collingsworth,1,2100,1297,769,631,2263,555,80,92,847,0,
Colorado,6/5S,10700,10738,6948,4975,17107,4850,853,477,5957,613,
Comal,8,74410,75559,48696,31068,125307,28528,5457,1845,38712,4242,
Comanche,44230,6690,6764,3983,3251,10944,3330,330,292,3738,455,
Concho,44449,1800,1409,862,617,2288,689,76,66,815,0,
Cooke,44230,17700,13737,8557,5623,32675,7804,948,552,11640,1051,
Coryell,7,30745,18062,10910,7895,60428,8040,1178,610,22789,2014,
Cottle,44230,0,680,375,338,1123,339,5,0,446,0,
Crane,44449,3450,1943,1213,750,3554,594,71,110,1353,0,
Crockett,44449,0,1723,988,760,2694,612,31,56,1031,0,
Crosby,1,4050,3150,1742,1439,4421,1085,98,115,1771,284,
Culberson,44449,1900,1366,830,542,1746,480,67,0,722,0,
Dallam,1,25970,3771,2215,1585,5217,857,40,0,2067,0,
Dallas,44230,1492385,1267055,827835,482890,2028105,292117,142713,21399,730851,83452,
Dawson,44449,3800,3536,2115,1523,9789,1898,304,112,4206,475,
Deaf Smith,1,4500,6875,4221,3141,13439,2423,238,147,5332,0,
Delta,4/5N,1500,1833,1089,803,4222,1118,379,100,1580,0,
Denton,44230,462750,423849,254815,180848,697330,93499,23806,5913,257836,22330,
DeWitt,8,6100,8244,5020,3778,16110,4035,319,438,6110,1055,
Dickens,1,0,920,533,445,1858,525,21,0,689,0,
Dimmit,8,23065,6937,3969,2990,7539,1749,238,175,3179,48,
Donley,1,1400,1386,845,575,2716,804,27,65,918,0,
Duval,11,3200,6951,4143,3213,8600,2031,69,150,3541,482,
Eastland,44230,6070,7479,4614,3462,14970,4054,860,389,5393,591,
Ector,44449,109350,70742,41082,31293,120896,15970,5303,1016,50679,428,
Edwards,8,0,942,543,415,1555,561,24,0,528,0,
El Paso,44449,524630,503166,320000,199696,640180,105175,35065,8383,245567,27330,
Ellis,44230,98780,85239,53704,35101,141665,24288,3985,1994,54463,6578,
Erath,44230,20300,15675,9562,6738,34875,6256,1250,481,12564,1079,
Falls,7,26945,5978,3728,2563,14049,3226,328,187,5671,486,
Fannin,44230,31145,12912,7730,6066,28874,6588,962,614,10987,1108,
Fayette,7,6600,11121,7089,4948,20879,6679,998,647,6844,671,
Fisher,44230,2100,1458,868,666,3088,961,101,28,1061,0,
Floyd,1,2200,2936,1701,1328,4371,1070,132,68,1723,0,
Foard,44230,1600,752,448,336,962,315,7,80,332,0,
Fort Bend,6/5S,418980,478541,291925,200813,616413,93851,24721,4977,175581,19047,
Franklin,4/5N,3000,3520,2115,1558,8554,2367,169,163,2871,0,
Freestone,7,3700,5442,3504,2427,15808,3996,553,261,6319,689,
Frio,8,11050,7137,4406,3373,16121,2499,186,166,6797,28,
Gaines,44449,4500,4480,2700,2111,14548,1907,323,95,6156,717,
Galveston,6/5S,240360,197808,118420,82873,269280,50987,11784,2830,96486,10219,
Garza,1,3400,2237,1441,1209,5325,719,33,75,2197,0,
Gillespie,8,28400,15282,9468,6097,22307,8110,1175,706,6815,681,
Glasscock,44449,0,799,457,373,1099,210,23,0,426,0,
Goliad,8,2300,3355,1865,1562,6281,1832,39,135,2282,0,
Gonzales,8,8700,9352,6077,4296,15937,3572,550,256,6356,693,
Gray,1,4600,8008,4945,3421,16924,3531,689,315,6978,42,
Grayson,44230,56930,50375,32961,22918,107521,24182,9338,2131,40586,4254,
Gregg,4/5N,99295,51321,29613,22523,95544,19451,7025,2324,37362,3988,
Grimes,7,4300,11022,7133,4504,23245,5134,234,311,9653,771,
Guadalupe,8,75785,65811,42164,30667,130517,23614,3801,1225,49282,3850,
Hale,1,11500,12451,7855,5392,25476,4604,873,399,10561,1177,
Hall,1,0,1619,952,765,2406,711,27,72,978,0,
Hamilton,7,5000,4506,2788,2193,6832,2146,481,296,2427,10,
Hansford,1,3200,2740,1662,1455,3987,812,139,84,1616,295,
Hardeman,44230,3200,2275,1305,1158,3190,912,102,16,1146,0,
Hardin,6/5S,11000,22140,13257,9342,45112,9762,1003,527,16190,1814,
Harris,6/5S,2669720,2279866,1486210,882905,3601939,514167,225769,27623,1408024,148273,
Harrison,4/5N,15370,19860,12162,9319,51900,11607,3063,608,20509,2169,
Hartley,1,1475,2780,1691,1101,4561,861,196,94,1669,253,
Haskell,44230,2600,2912,1764,1286,4831,1266,123,68,1872,187,
Hays,7,141540,109435,71077,44310,183380,26187,5488,1907,61462,6431,
Hemphill,1,2900,1943,1171,1056,2827,606,104,98,1066,0,
Henderson,4/5N,20170,28250,17400,12236,67238,18534,2043,998,26544,1787,
Hidalgo,11,500890,479769,306061,190710,620824,98328,54962,17074,286328,36161,
Hill,7,8200,15010,9089,7137,29198,7684,862,523,11381,1209,
Hockley,1,5200,9573,5551,4474,17799,3453,483,263,6829,887,
Hood,44230,26970,32783,19628,13866,50193,15416,1720,867,16867,147,
Hopkins,4/5N,10670,12332,7616,5188,29175,6887,1192,620,11166,1299,
Houston,4/5N,6100,8206,5181,3728,18929,5176,634,538,7399,631,
Howard,44449,7600,10110,5767,4756,29544,4813,1456,454,12143,858,
Hudspeth,44449,1700,2118,1230,938,3979,775,33,0,1778,145,
Hunt,44230,34970,32021,19210,14052,77878,15810,4112,947,31096,2723,
Hutchinson,1,4200,7902,4526,3517,16258,3581,504,246,6098,741,
Irion,44449,0,778,448,339,1234,328,15,0,429,0,
Jack,44230,3700,3579,2113,1680,7230,1515,198,149,2732,284,
Jackson,8,9290,6696,4124,2803,11425,2720,380,237,4205,674,
Jasper,4/5N,14000,13980,8050,6481,28056,7187,1597,374,11687,1173,
Jeff Davis,44449,1400,1829,1031,846,2180,812,28,0,685,0,
Jefferson,6/5S,211590,101876,63391,39523,197382,37595,13127,2431,90120,6898,
Jim Hogg,11,1400,3765,2166,1623,3791,890,14,60,1572,0,
Jim Wells,11,30045,24163,13719,11012,30579,6358,3897,985,12474,1370,
Johnson,44230,84210,65581,39235,28064,135345,25151,3559,1471,53224,5814,
Jones,44230,2800,5601,3455,2611,17011,3188,337,254,6981,525,
Karnes,8,11680,6264,4012,3028,12669,2211,370,244,5177,505,
Kaufman,44230,51050,51572,32997,20670,102341,16113,2857,1189,40613,4498,
Kendall,8,15100,26660,16620,11106,37890,9152,1091,801,12702,160,
Kenedy,11,0,313,173,144,321,68,1,0,139,0,
Kent,44230,0,385,223,186,615,201,13,60,198,0,
Kerr,8,16500,23343,14576,9601,43793,14769,2805,1022,13990,1087,
Kimble,44449,2500,2376,1368,1115,3651,1288,90,0,1243,0,
King,1,0,97,69,32,205,51,7,0,69,0,
Kinney,8,2200,1669,1087,610,3050,910,11,0,1171,0,
Kleberg,11,50045,21267,11742,9848,24188,4046,1401,341,9265,870,
Knox,44230,2100,1922,1073,957,2808,736,95,127,976,182,
La Salle,8,23835,4958,2838,2282,6212,1018,22,60,2410,0,
Lamar,4/5N,24800,21074,12258,9631,39402,9726,3115,745,14986,1612,
Lamb,1,2300,5826,3485,2688,9740,2240,454,226,3968,536,
Lampasas,7,4400,7319,4611,3209,17366,4322,348,284,6457,0,
Lavaca,8,7800,8804,5374,4223,16004,4775,820,612,5435,476,
