County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,25408585,18165085,11013458,7788050,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5023640,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17370,18756,12746,7203,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,10501,5784,4908,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,56000,42380,25199,18703,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,18630,10686,8506,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3000,5146,2952,2457,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1010,578,455,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,18500,23687,14717,9884,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8600,17613,10894,7795,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,23835,3779,2139,1821,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,12124,7329,5455,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,55100,51833,33077,20355,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2278,1306,1060,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,81290,18799,11170,7998,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,213350,129224,80245,54379,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1414660,1279049,775476,536536,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5500,8325,4913,3692,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,285,170,150,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11000,10663,6162,5044,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,65890,33676,19945,15920,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,208110,236371,140260,105044,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,167450,138858,85110,57948,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,7486,4319,3575,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,865,465,416,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,5426,2976,2503,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14600,15729,10092,8613,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,9784,5907,4407,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,35775,26461,16347,11511,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,14700,22051,14144,9359,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,12741,7749,6081,16817,3981,470,384,6161,53,,,,,,,,,,,,,
