County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,21956987,12638634,10146184,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,29071,17535,13524,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,44449,6100,11148,6084,5267,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,48856,27460,23286,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,20260,11431,9517,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,44230,3200,5677,3123,2858,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1073,602,497,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,29901,17315,13757,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,18721,10920,8995,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,3990,2242,1946,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,13803,7958,6699,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,61080,36591,26390,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,44230,5550,2162,1172,1087,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,21859,12058,10244,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,164352,95638,76035,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,1570415,897666,718311,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,9430,5239,4536,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,44449,0,273,157,138,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,11626,6621,5701,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
