County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Texas,--,27513735,28097858,15968249,13259050,24068624,22421178,3734229,1241763,271813,8302974,850859,,,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,
Anderson,4/5N,17870,37202,21641,17917,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,,
Andrews,9/10,6100,13081,7318,6037,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,,
Angelina,4/5N,58100,60939,34854,28705,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,,
Aransas,11,6840,24162,13766,11289,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,,
Archer,2/3,3200,6537,3651,3235,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,,
Armstrong,1,2100,1225,697,566,1584,1499,470,32,86,466,0,,,,,,,,,,,,,
Atascosa,8,19000,40255,23177,18571,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,,
Austin,6/5S,8700,23830,14074,11602,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,,
Bailey,1,24135,4543,2620,2161,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,,
Bandera,8,5100,16883,9715,8286,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,,
Bastrop,7,62200,81535,47576,36614,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,,
Baylor,2/3,5550,2340,1297,1167,2992,2793,844,137,97,908,0,,,,,,,,,,,,,
Bee,11,83660,26273,14723,12144,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,,
Bell,7,222970,225939,130470,105112,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,,
Bexar,8,1502800,2113203,1193665,989081,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,,
Blanco,7,5600,10851,6065,5225,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,,
Borden,9/10,0,319,190,155,569,543,174,9,0,163,0,,,,,,,,,,,,,
Bosque,7,11100,13306,7688,6455,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,,
Bowie,4/5N,67090,51148,29928,24383,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,,
Brazoria,6/5S,224000,353264,198332,169504,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,,
Brazos,7,176390,197140,110900,93033,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,,
Brewster,9/10,5100,8703,4964,4214,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,,
Briscoe,1,1200,1035,562,502,1352,1272,404,19,0,452,0,,,,,,,,,,,,,
Brooks,11,3400,7429,4250,3492,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,,
Brown,2/3,14800,21711,13667,11575,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,,
Burleson,7,4700,13778,7932,6738,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,,
Burnet,7,38215,39695,23036,19134,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,,
Caldwell,7,15100,37315,21900,17467,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,,
Calhoun,8,7300,18144,10751,8874,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,,
Callahan,2/3,3500,7997,4708,3891,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,,
Cameron,11,377955,523230,295903,244088,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,,
Camp,4/5N,1800,8529,4933,3893,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,,
Carson,1,1800,3301,1861,1537,5073,4718,1250,60,0,1547,240,,,,,,,,,,,,,
Cass,4/5N,5100,15701,9340,7617,25670,24182,6856,1216,550,9010,1125,,,,,,,,,,,,,
Castro,1,3100,4955,2952,2175,6026,5607,1236,121,174,2168,341,,,,,,,,,,,,,
Chambers,6/5S,37400,33109,19031,14993,35653,33062,5259,958,244,12484,1539,,,,,,,,,,,,,
Cherokee,4/5N,18070,30278,17729,14657,44073,40876,9444,1500,738,16376,1511,,,,,,,,,,,,,
Childress,1,5000,5540,3306,2995,6419,6094,1165,251,136,2395,0,,,,,,,,,,,,,
Clay,2/3,14645,7275,3985,3600,9145,8666,2484,136,60,3011,384,,,,,,,,,,,,,
Cochran,1,1400,1692,1001,885,2361,2188,468,57,0,956,0,,,,,,,,,,,,,
Coke,9/10,0,2122,1198,995,2889,2756,947,47,130,899,0,,,,,,,,,,,,,
Coleman,2/3,3700,4992,2851,2387,7133,6721,2119,342,162,2379,289,,,,,,,,,,,,,
Collin,2/3,763700,1176280,646401,561454,865275,801716,116575,38139,7817,236374,34589,,,,,,,,,,,,,
Collingsworth,1,2200,1510,894,746,2432,2263,555,80,92,847,0,,,,,,,,,,,,,
Colorado,6/5S,12600,17624,10510,8738,18273,17107,4850,853,477,5957,613,,,,,,,,,,,,,
Comal,8,94530,156384,89059,75549,133278,125307,28528,5457,1845,38712,4242,,,,,,,,,,,,,
Comanche,2/3,6890,9543,5531,4675,11640,10944,3330,330,292,3738,455,,,,,,,,,,,,,
Concho,9/10,2000,2248,1328,1042,2382,2288,689,76,66,815,0,,,,,,,,,,,,,
Cooke,2/3,18500,26393,15209,12405,34774,32675,7804,948,552,11640,1051,,,,,,,,,,,,,
Coryell,7,38595,45481,25814,21498,64702,60428,8040,1178,610,22789,2014,,,,,,,,,,,,,
Cottle,2/3,0,868,501,438,1181,1123,339,5,0,446,0,,,,,,,,,,,,,
Crane,9/10,3550,2721,1689,1060,3834,3554,594,71,110,1353,0,,,,,,,,,,,,,
Crockett,9/10,0,2515,1387,1161,2885,2694,612,31,56,1031,0,,,,,,,,,,,,,
Crosby,1,4050,4249,2349,2002,4779,4421,1085,98,115,1771,284,,,,,,,,,,,,,
Culberson,9/10,2000,2094,1124,987,1824,1746,480,67,0,722,0,,,,,,,,,,,,,
Dallam,1,28810,5281,3076,2308,5706,5217,857,40,0,2067,0,,,,,,,,,,,,,
Dallas,2/3,1962805,2550118,1445958,1190001,2181224,2028105,292117,142713,21399,730851,83452,,,,,,,,,,,,,
Dawson,9/10,4600,6641,3958,3212,10475,9789,1898,304,112,4206,475,,,,,,,,,,,,,
DeWitt,8,7100,14510,8265,6984,17091,16110,4035,319,438,6110,1055,,,,,,,,,,,,,
Deaf Smith,1,5000,12120,7157,5678,14756,13439,2423,238,147,5332,0,,,,,,,,,,,,,
Delta,4/5N,1700,2878,1630,1353,4476,4222,1118,379,100,1580,0,,,,,,,,,,,,,
Denton,2/3,567070,920596,504113,443331,750269,697330,93499,23806,5913,257836,22330,,,,,,,,,,,,,
Dickens,1,0,1140,662,566,1943,1858,525,21,0,689,0,,,,,,,,,,,,,
Dimmit,8,23265,13053,7928,5211,8187,7539,1749,238,175,3179,48,,,,,,,,,,,,,
Donley,1,1400,2063,1173,957,2837,2716,804,27,65,918,0,,,,,,,,,,,,,
Duval,11,3800,11459,6729,5210,9183,8600,2031,69,150,3541,482,,,,,,,,,,,,,
Eastland,2/3,7340,10148,6000,4890,15879,14970,4054,860,389,5393,591,,,,,,,,,,,,,
Ector,9/10,117100,111254,63459,50834,131546,120896,15970,5303,1016,50679,428,,,,,,,,,,,,,
Edwards,8,0,1214,661,580,1648,1555,561,24,0,528,0,,,,,,,,,,,,,
El Paso,9/10,713000,1044026,581328,493357,688420,640180,105175,35065,8383,245567,27330,,,,,,,,,,,,,
Ellis,2/3,130520,151968,86344,71196,153077,141665,24288,3985,1994,54463,6578,,,,,,,,,,,,,
Erath,2/3,24600,24035,13670,11494,37010,34875,6256,1250,481,12564,1079,,,,,,,,,,,,,
Falls,7,30755,12195,6905,5633,14863,14049,3226,328,187,5671,486,,,,,,,,,,,,,
Fannin,2/3,37695,21847,12814,10665,30562,28874,6588,962,614,10987,1108,,,,,,,,,,,,,
Fayette,7,8700,20840,12283,10012,22151,20879,6679,998,647,6844,671,,,,,,,,,,,,,
Fisher,2/3,2200,2147,1244,1073,3277,3088,961,101,28,1061,0,,,,,,,,,,,,,
Floyd,1,2300,4042,2283,1942,4667,4371,1070,132,68,1723,0,,,,,,,,,,,,,
Foard,2/3,1700,792,470,358,1003,962,315,7,80,332,0,,,,,,,,,,,,,
Fort Bend,6/5S,528850,966811,537031,459711,665167,616413,93851,24721,4977,175581,19047,,,,,,,,,,,,,
Franklin,4/5N,3200,6093,3613,2917,9186,8554,2367,169,163,2871,0,,,,,,,,,,,,,
Freestone,7,4400,11651,6767,5650,16823,15808,3996,553,261,6319,689,,,,,,,,,,,,,
