County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Texas,--,27513735,31530507,17300252,14882835,24068624,22421178,3734229,1241763,271813,8302974,850859,549816,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Anderson,4/5N,17870,42140,23864,20369,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,
Andrews,9/10,6100,15181,8154,7063,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,
Angelina,4/5N,58100,70726,39053,33801,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,
Aransas,11,6840,27120,14642,12739,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,
Archer,2/3,3200,7495,4045,3642,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,
Armstrong,1,2100,1325,731,622,1584,1499,470,32,86,466,0,,,,,,,,,,,,
Atascosa,8,19000,46091,25321,21737,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,
Austin,6/5S,8700,26403,15078,12987,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,
Bailey,1,24135,4942,2834,2341,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,
Bandera,8,5100,18748,10438,9138,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,
Bastrop,7,62200,93852,52379,42981,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,
Baylor,2/3,5550,2692,1462,1316,2992,2793,844,137,97,908,0,,,,,,,,,,,,
Bee,11,83660,30830,16463,14023,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,
Bell,7,222970,272859,150327,127734,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,
Bexar,8,1502800,2362696,1281637,1102487,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,
Blanco,7,5600,11730,6377,5628,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,
Borden,9/10,0,388,224,196,569,543,174,9,0,163,0,,,,,,,,,,,,
Bosque,7,11100,15056,8496,7290,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,
Bowie,4/5N,67090,59394,33299,28098,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,
Brazoria,6/5S,224000,393621,212134,189392,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,
Brazos,7,176390,218301,120081,103246,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,
Brewster,9/10,5100,9317,5266,4428,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,
Briscoe,1,1200,1140,615,548,1352,1272,404,19,0,452,0,,,,,,,,,,,,
Brooks,11,3400,8459,4553,3995,5714,5317,1308,323,246,2253,22,,,,,,,,,,,,
Brown,2/3,14800,24964,15080,13363,32897,30883,7720,1663,911,11188,1112,,,,,,,,,,,,
Burleson,7,4700,15721,8759,7706,15888,14869,3867,143,218,5600,518,,,,,,,,,,,,
Burnet,7,38215,44813,25002,21668,41525,39239,10999,1823,595,13132,94,,,,,,,,,,,,
Caldwell,7,15100,43127,24262,20438,37400,34853,6512,1286,524,14114,1294,,,,,,,,,,,,
Calhoun,8,7300,20146,11507,9991,17988,16817,3981,470,384,6161,53,,,,,,,,,,,,
Callahan,2/3,3500,9236,5204,4545,11949,11263,2958,146,122,4094,442,,,,,,,,,,,,
Cameron,11,377955,579608,317225,272572,339698,311689,58607,29737,6315,127806,17059,,,,,,,,,,,,
Camp,4/5N,1800,9885,5505,4595,10774,10031,2494,207,152,3927,0,,,,,,,,,,,,
