County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",People Vaccinated with an Additional Dose,,,,,,,,,,,
Texas,--,27513735,31752955,17359020,14969308,24068624,22421178,3734229,1241763,271813,8302974,850859,629228,,,,,,,,,,,
Federal Long-Term Care Vaccination Program,--,720525,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Federal Pharmacy Retail Vaccination Program,--,5509700,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,
Anderson,4/5N,17870,42489,23947,20579,50661,48045,8658,2051,833,20206,1574,,,,,,,,,,,,
Andrews,2021-09-10 00:00:00,6100,15254,8179,7094,14863,13503,1833,309,106,5450,41,,,,,,,,,,,,
Angelina,4/5N,58100,71146,39170,34074,72486,67056,14422,6534,1752,28054,3266,,,,,,,,,,,,
Aransas,11,6840,27261,14676,12791,20834,19803,6791,370,252,6701,39,,,,,,,,,,,,
Archer,2021-02-03 00:00:00,3200,7545,4056,3654,7388,6921,1677,80,13,2381,330,,,,,,,,,,,,
Armstrong,1,2100,1322,730,620,1584,1499,470,32,86,466,0,,,,,,,,,,,,
Atascosa,8,19000,46374,25383,21895,41738,38768,7605,1124,651,15239,1557,,,,,,,,,,,,
Austin,6/5S,8700,26532,15105,13071,25335,23704,5933,667,396,7873,1079,,,,,,,,,,,,
Bailey,1,24135,5001,2849,2380,5603,5089,1036,114,74,1982,0,,,,,,,,,,,,
Bandera,8,5100,18950,10472,9178,20596,19763,6439,352,180,6555,20,,,,,,,,,,,,
Bastrop,7,62200,94302,52523,43210,74173,68839,13865,1462,696,29356,2746,,,,,,,,,,,,
Baylor,2021-02-03 00:00:00,5550,2720,1471,1327,2992,2793,844,137,97,908,0,,,,,,,,,,,,
Bee,11,83660,31077,16522,14090,28034,26496,4091,981,684,11359,989,,,,,,,,,,,,
Bell,7,222970,275342,151026,128746,294905,272969,40534,15894,2466,95066,12910,,,,,,,,,,,,
Bexar,8,1502800,2380631,1286299,1107648,1661614,1552823,247843,100704,17248,614646,61232,,,,,,,,,,,,
Blanco,7,5600,11774,6384,5647,10598,10092,3004,90,102,3388,303,,,,,,,,,,,,
Borden,2021-09-10 00:00:00,0,391,226,197,569,543,174,9,0,163,0,,,,,,,,,,,,
Bosque,7,11100,15133,8515,7343,16110,15224,4741,624,407,5126,579,,,,,,,,,,,,
Bowie,4/5N,67090,59734,33418,28263,78795,73689,15832,6332,1467,29102,3303,,,,,,,,,,,,
Brazoria,6/5S,224000,396420,212775,190579,310503,287683,45752,9762,2648,105966,12034,,,,,,,,,,,,
Brazos,7,176390,219520,120422,103895,198148,186843,21693,7514,1414,59619,6083,,,,,,,,,,,,
Brewster,2021-09-10 00:00:00,5100,9420,5288,4440,8071,7706,2231,303,0,2579,255,,,,,,,,,,,,
