OBJECTID,NAME,UFID,TYPE,TSA,STREET,CITY,COUNTY,PFIZER_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE,MODERNA_AVAILABLE2,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,Total_Available,PublicPhone,WEBSITE,RemoveRecord,HOURSOFOPERATION,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,Wellmed Management,1502148030,Medical Practice,,6157 Nw Loop 410,San Antonio,Bexar,0,0,1560,0,1560,0,1560,(512) 206-2986,https://www.wellmedhealthcare.com/,,,01/16/2021      ,07:54:58        ,-98.61549,29.470478
2,The Colony Er Hospital,31758,Hospital,E,4780 State Hwy 121,The Colony,Denton,0,0,0,0,0,0,0,(214) 469-1119,https://thecolonyer.com/,,,01/16/2021      ,16:33:50        ,-96.8856,33.066706
3,ALTUS BAYTOWN HOSPITAL,131120,Other,Q,6501 Garth Rd,Baytown,Harris,0,0,200,0,200,0,200,(281) 837-7600,http://www.altushospital.org/,,,01/16/2021      ,16:33:19        ,-94.980795,29.796855
4,Envoy Hospice DBA Altus Hospice Beaumont,1502156064,Other,,College Street,Beaumont,Jefferson,0,0,20,0,20,0,20,,,,,01/16/2021      ,16:31:21        ,,
5,Christus Trinity Clinic Kilgore,25087698,Medical Practice,,1718 S Henderson Blvd,Kilgore,Gregg,0,0,10,0,10,0,10,(903) 983-2110,https://www.christushealth.org/trinity/clinic/locations-directions/family-medicine-kilgore?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTE3ODEyNDYtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,,,,-94.869143,32.374277
6,Collom and Carney Clinic,25246064,Medical Practice,,"5002 Cowhorn Creek Road, Texarkana, TX, USA",Texarkana,Bowie,0,0,72,0,72,0,72,903-614-3002,,,,01/16/2021      ,08:25:28        ,-94.078032,33.464768
7,Christus Trinity Clinic,25300426,Other,,520 E Douglas Blvd,Tyler,Smith,0,0,60,0,60,0,60,(903) 593-8441,http://www.tmfhs.org/,,"Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Sunday: Open 24 hours",01/15/2021      ,07:48:42        ,-95.292324,32.344783
8,Christus Trinity Clinic Internal Medicine,25157788,Hospital,,815 S Washington Ave,Marshall,Harrison,0,0,0,0,0,0,0,(903) 315-5600,https://www.christushealth.org/good-shepherd/locations-and-directions/internal-medicine-longview?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTUzNzY2MDktNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",,,-94.367859,32.537286
9,Communitycare Obgyn Bastrop,30017760,Community Clinic,,301 Highway 71 W Ste 111,Bastrop,Bastrop,0,0,0,0,0,0,0,(877) 800-5722,https://lonestarcares.org/location/community-health-center-of-bastrop-county/,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",01/11/2021      ,15:58:34        ,-97.329727,30.10574
10,Texas Tech Physicians Of El Paso At Tra,30025120,Other,,2000b Transmountain Rd,El Paso,El Paso,0,0,480,0,480,0,480,(915) 215-8400,http://eptexastechphysicians.org/,,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",,,-106.56468,31.906634
