OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE,MODERNA_AVAILABLE2,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,Total_Available,Total_Shipped,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,Super 1 Pharmacy 649,Pharmacy,,125 Hall Rd,Seagoville,Dallas,125 Hall Rd,75159,32.6491261895459,-96.5486245908615,0,0,0,70,0,70,70,200,(972) 287-1680,https://www.brookshires.com/covid-19-information,,01/26/2021      ,18:12:40        ,-96.548625,32.649126
2,"Texas Health Care, P.L.L.C.",Medical Practice,,Lackland Rd,Fort Worth,Texas,"2821 Lackland Rd, Suite 300",76116,32.73334393,-97.43459737,0,0,0,0,0,0,0,300,,,,01/27/2021      ,07:30:44        ,-97.434597,32.733344
3,Parkland Health And Hospital System,Other,,5184 Tex Oak Ave Ron J Anderson Building,Dallas,Dallas,5184 Tex Oak Ave Ron J Anderson Building,75235,32.8139743779033,-96.8343865544449,0,0,0,0,0,0,0,2000,(214) 590-8000,http://www.parklandhospital.com/police,,01/25/2021      ,15:29:56        ,-96.834387,32.813974
4,AccelHealth Stephenville,Community Clinic,,135 River N Blvd,Stephenville,Erath,"135 River North Boulevard, Stephenville, TX, USA",76401,32.2275781,-98.23168,0,0,90,0,90,0,90,100,,,,01/27/2021      ,08:13:14        ,-98.23168,32.227578
5,Legends Pharmacy,Pharmacy,,6601 Blanco Rd,San Antonio,Bexar,6601 Blanco Rd,78216,29.5161700898391,-98.5068416029713,0,0,0,0,0,0,0,100,210-434-2477,https://legendspharmacy.com/,,01/27/2021      ,09:37:14        ,-98.506842,29.51617
6,Heb Pharmacy 675,Pharmacy,,2710 Pearland Pkwy,Pearland,Brazoria,2710 Pearland Pkwy,77581,29.5581990059271,-95.2650070261513,0,0,0,56,0,56,56,200,(281) 485-5047,https://www.heb.com/heb-store/US/tx/pearland/pearland-2-h-e-b-675?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,01/27/2021      ,09:38:51        ,-95.265007,29.558199
7,Christus Trinity Clinic Of Canton,Community Clinic,,18780 I20 Service Road,Canton,Van Zandt,18780 I20 Service Road,75103,32.5870359701047,-95.8753892853274,0,0,0,500,0,500,500,1000,(903) 567-4841,https://www.christushealth.org/trinity/clinic/locations-directions/canton?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTE3ODEyNjUtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,,01/27/2021      ,09:35:41        ,-95.875389,32.587036
8,El Paso Drive Iz Clinic El Paso Dph,Local Health Department,,5115 El Paso Dr,El Paso,El Paso,5115 El Paso Dr,79905,31.77027558059,-106.429210289581,0,0,0,0,0,0,0,100,(915) 212-0200,https://www.elpasotexas.gov/public-health,,01/26/2021      ,11:31:42        ,-106.42921,31.770276
9,Steve Ahmed Md Pa,Medical Practice,,1700 W Fm 700,Big Spring,Howard,1700 W Fm 700,79720,32.2343251911153,-101.491785515795,0,0,0,0,0,0,0,200,(432) 264-1900,http://bodyfocusspa.com/,,01/26/2021      ,08:30:58        ,-101.491786,32.234325
10,DR NORMA IGLESIAS AND ASSOCIATES - Pharr,Medical Practice,,,Pharr,,712 SOUTH CAGE BLVD,78577,26.1885744289268,-98.1851557459582,0,0,0,0,0,0,0,1100,,,,01/27/2021      ,07:52:01        ,-98.185156,26.188574
11,Dept of State Health Services - HSR 9/10 Brady,Local Health Department,,1004 S Bridge St,Brady,McCulloch,1004 S Bridge St,76825,31.1276523727587,-99.3350979403291,0,0,70,0,70,0,70,400,,,,01/27/2021      ,08:32:04        ,-99.335098,31.127652
12,Diana Lozano Md Pa,Medical Practice,,5505 S Expressway 77,Harlingen,Cameron,5505 S Expressway 77,78550,26.1562182363853,-97.6754239470116,0,0,0,0,0,0,0,100,(956) 440-2800,http://dlozanomd.com/,,01/27/2021      ,07:54:05        ,-97.675424,26.156218
13,Stone Oak Family Doctors Pa,Medical Practice,,700 E Sonterra Blvd,San Antonio,Bexar,700 E Sonterra Blvd,78258,29.6148739567095,-98.4843500230854,0,0,0,140,0,140,140,500,(210) 496-7999,http://www.sofdpa.com/,,01/27/2021      ,09:17:27        ,-98.48435,29.614874
14,DSHS - Columbus Clinic,Other,,1220 Bowie St,Columbus,Colorado,"1220 Bowie Street, Columbus, TX, USA",78940,29.7049133,-96.5421055,0,0,0,0,0,0,0,100,,,,01/19/2021      ,09:39:55        ,-96.542105,29.704913
15,Acres Home Health Center,Community Clinic,,818 Ringold St,Houston,Harris,818 Ringold St,77088,29.8751134843917,-95.4187024642801,0,0,100,0,100,0,100,200,(281) 448-6391,https://www.harrishealth.org/locations-hh/Pages/acres-home-health-center.aspx,,01/27/2021      ,08:20:43        ,-95.418702,29.875113
16,South Tx Rural Health Serv Cotulla,Other,,105 S Stewart,Cotulla,La Salle,105 S Stewart,78014,28.4364095683834,-99.2362789179092,0,0,0,0,0,0,0,100,,,,,,-99.236279,28.43641
17,United Medical Centers 2,Other,,202 JAMES STREET,BRACKETTVILLE,Kinney,202 JAMES STREET,78832,29.3123136486512,-100.417367029845,0,0,0,0,0,0,0,100,,,,,,-100.417367,29.312314
18,Fresenius Kidney Care- Denton,Other,,,Denton,,3400 Corinth Pkwy,76208,,,0,0,0,0,0,0,0,100,,,,,,,
19,UTSW - ZALE LIPSHY,Vaccine Hub,E,5151 Harry Hines Blvd,Dallas,Dallas,5151 Harry Hines Blvd,75390,32.8109097155001,-96.8362900117144,5050,0,635,0,5685,0,5685,60600,214-633-2021,https://utswmed.org/covid-19/covid-19-vaccination/,,,,-96.83629,32.81091
20,Victoria Fire Department,Other,,1703 E Airline,Victoria,Victoria,1703 E Airline,77901,28.821312118704,-96.9869257030016,0,0,0,200,0,200,200,400,3614853450,http://www.victoriatx.org/,,01/27/2021      ,09:22:43        ,-96.986926,28.821312
21,South Tx Rural Health Services Devine,Other,,1010 W HONDO AVE,DEVINE,Medina,1010 W HONDO AVE,78016,29.1472713597676,-98.916098139948,0,0,0,0,0,0,0,100,830-879-2502,,,,,-98.916098,29.147271
22,The University of Texas at El Paso,Other,,500 W University Ave,El Paso,El Paso,"500 West University Avenue, El Paso, TX, USA",79968,31.7678712,-106.5058212,0,0,0,0,0,0,0,1950,,,,01/24/2021      ,06:37:55        ,-106.505821,31.767871
23,St Hope Foundation Inc,Community Clinic,,6800 West Loop S Ste 560,Bellaire,Harris,6800 West Loop S Ste 560,77401,29.7053143759261,-95.4597578154058,0,0,0,0,0,0,0,400,(713) 778-1300,https://offeringhope.org/,,01/20/2021      ,23:32:46        ,-95.459758,29.705314
24,Heb Pharmacy 581,Pharmacy,,2511 Trimmier Rd,Killeen,Bell,2511 Trimmier Rd,76542,31.0902718506244,-97.7340449661645,0,0,0,100,0,100,100,200,(254) 634-2370,https://www.heb.com/heb-store/US/tx/killeen/trimmier-h-e-b-plus--581?utm_source=google&utm_medium=organic&utm_campaign=gmb_pharmacy,,01/26/2021      ,16:55:08        ,-97.734045,31.090272
25,"Vara Hospice, LLC",Other,,3619 Davis Ave,Laredo,Webb,"3619 Davis Avenue, Laredo, Texas, USA",78041,27.532667,-99.5106687,0,0,100,0,100,0,100,100,833-663-8271,,,01/27/2021      ,09:19:34        ,-99.510669,27.532667
26,Sullivan Pharmacy,Pharmacy,,1140 Grand Ave,Bacliff,Galveston,1140 Grand Ave,77518,29.4993881785774,-94.9942531133976,0,0,440,0,440,0,440,800,,https://www.sullivanpharmacytx.com/,,01/20/2021      ,07:34:59        ,-94.994253,29.499388
27,Albertsons Pharmacy 4272,Pharmacy,,850 E Loop 820,Fort Worth,Tarrant,850 E Loop 820,76112,32.7671049827557,-97.2134892163865,0,0,0,0,0,0,0,200,(817) 451-1637,,,01/14/2021      ,17:07:28        ,-97.213489,32.767105
28,Stephanie H Garcia Md,Medical Practice,,5505 S Expressway 77,Harlingen,Cameron,5505 S Expressway 77,78550,26.1562182363853,-97.6754239470116,0,0,0,490,0,490,490,1000,(956) 428-7500,,,01/26/2021      ,09:26:14        ,-97.675424,26.156218
29,Val Verde Health Clinic 1801 N Bedell,Community Clinic,,801 N Bedell,Del Rio,Val Verde,801 N Bedell,78840,29.3749918087269,-100.893630776971,0,0,0,340,0,340,340,3450,(830) 775-7555,http://www.vvrmc.org/,,01/25/2021      ,08:42:33        ,-100.893631,29.374992
30,STEPHENS MEMORIAL HOSPITAL,Hospital,D,200 S Geneva St, Breckenridge,Stephens,"200 S Geneva St, Breckenridge, TX, 76424",76424,32.754707,-98.887727,0,0,0,0,0,0,0,100,(254) 559-2241,http://www.smhtx.com/,,01/15/2021      ,11:00:12        ,-98.887727,32.754707
31,MCALLEN MEDICAL CENTER (STHS),Hospital,V,301 W Expressway 83,Mcallen,Hidalgo,301 W Expressway 83,78501,26.1882083807114,-98.219988776733,0,595,0,0,0,595,595,400,(956) 632-4880,http://www.chghospitals.com/,,01/27/2021      ,09:13:04        ,-98.219989,26.188208
32,Albertsons Pharmacy 0716,Pharmacy,,200 West Crawford Street,Denison,Grayson,200 West Crawford Street,75020,33.7534517672625,-96.5378045553983,0,0,0,0,0,0,0,100,(903) 465-6182,https://local.pharmacy.albertsons.com/tx/denison/200-w-crawford-st.html,,01/08/2021      ,14:53:00        ,-96.537805,33.753452
33,Swiftcare Urgent Care,Medical Practice,,1201 N Main St,Euless,Tarrant,1201 N Main St,76039,32.8533638188864,-97.0825648946143,0,0,0,0,0,0,0,400,(682) 738-3460,http://myswiftcare.com/,,01/27/2021      ,09:21:45        ,-97.082565,32.853364
34,Centromed Maria Flores Castro Clinic,Other,,7315 S Loop 1604 W,Somerset,Atascosa,7315 S Loop 1604 W,78069,29.22851,-98.64575,0,0,40,0,40,0,40,100,(210) 922-7000,,,01/27/2021      ,07:34:07        ,-98.64575,29.22851
35,Arlington Community Health Center,Other,,979 N Cooper St,Arlington,Tarrant,979 N Cooper St,76011,32.7491288798944,-97.1123015453894,0,0,0,0,0,0,0,100,(817)625-4254,http://ntachc.org/,,,,-97.112302,32.749129
