OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,JJ_AVAILABLE,VACCINES_AVAILABLE,Total_Shipped,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,Prairie View A And M University Owens Franklin Health Center,Other,,,"Prairie View,",Waller,1455 Tr Solomon St,77446,30.0926108372674,-95.9937256177675,0,0,0,0,600,,https://www.pvamu.edu/healthservices/,,03/29/2021      ,07:23:59        ,-95.993726,30.092611
2,Marfa Community Health Clinic,Community Clinic,J,406 South Summer St,Marfa,Presidio,406 S. Summer St,79843,30.30643,-104.02583,0,0,0,0,1200,,,,02/04/2021      ,05:17:53        ,-104.02583,30.30643
3,Davy Crockett Drug Inc,Pharmacy,,107 S 4th St,Crockett,,107 S 4th St,75835,31.3179691,-95.4581255,0,200,0,200,1500,(936) 544-2275,james@davycrockettdrug.com,,03/25/2021      ,18:54:30        ,-95.458125,31.317969
4,Regence Health Network Inc Hereford,Other,,125 W Park Ave,Hereford,Deaf Smith,125 W Park Ave,79045,34.82121,-102.4068,0,0,0,0,200,,,,03/25/2021      ,16:54:55        ,-102.4068,34.82121
5,The Other Guys Pharmacy ,Pharmacy,,,Weslaco,,"1116 E 8th St #1, Weslaco, TX 78596",78596,,,0,0,0,0,100,(956) 405-3232,https://pharmacyweslaco.com/,,,,,
6,Houston Health Department,Vaccine Hub,,8000 N Stadium Dr,Houston,Harris,"8000 N Stadium Dr, Houston, Texas 77054",77054,29.6931554841311,-95.4078596343324,0,10920,400,11320,196500,(832) 393-4220,https://houstonemergency.org/covid19/,,03/28/2021      ,08:09:57        ,-95.40786,29.693155
7,Hamarsyl Pharmacy LLc,Pharmacy,,,McAllen,,"2528 Buddy Owens Blvd, McAllen, TX 78504",78504,,,0,0,0,0,100,(956) 627-4358,https://www.hamarsylpharmacy.com/,,,,,
8,Alvin Care Pharmacy,Other,,,Alvin,,204 E House St,77511,29.4186013,-95.2406608,0,0,0,0,100,,,,,,-95.240661,29.418601
9,Centro De Salud Lisbon,Community Clinic,,200 Lisbon Street,El Paso,El Paso,200 Lisbon Street,79905,31.7667130202831,-106.424662520375,0,0,0,0,200,(915) 778-9200,http://www.lafe-ep.org/,,03/26/2021      ,08:31:15        ,-106.424663,31.766713
10,Jefferson County Immunization Clinic,Vaccine Hub,,1295 Pearl St,Beaumont,Jefferson,"1295 Pearl Street, Beaumont, TX, USA",77701,30.0776871,-94.092148,0,1200,0,1200,133090,(409)835-8530,https://co.jefferson.tx.us/PublicHealth/PublicHealth.htm,,03/24/2021      ,22:46:23        ,-94.092148,30.077687
11,Memorial Family Medicine,Other,,1002 North Mound Street,Nacogdoches,Nacogdoches,1002 North Mound Street,75961,31.611666977796,-94.6491636328261,0,0,0,0,500,,,,03/23/2021      ,13:09:31        ,-94.649164,31.611667
12,Dept of Public Health - Comal County / New Braunfels,Local Health Department,,1297 Church Hill Drive,New Braunfels,Comal,1297 Church Hill Drive,78130,29.7107872452255,-98.1002031394246,0,0,0,0,26900,(830) 221-1150,http://www.co.comal.tx.us/health.htm,,03/24/2021      ,15:57:54        ,-98.100203,29.710787
13,DeliverIt Pharmacy Sugar Land,Pharmacy,,13303 W Airport Blvd,Sugar Land,Fort Bend,"13303 West Airport Boulevard, Sugar Land, TX, USA",77478,29.6503351,-95.6175814,0,0,0,0,600,(281) 277-1071,https://www.deliveritpharmacy.com/,,03/23/2021      ,10:53:02        ,-95.617581,29.650335
14,Fresenius Medical Care Rockport,Other,, FM 3036,Rockport,Aransas,1102 FM 3036 Rockport 78382,78382,28.0611518028197,-97.0444858147253,0,0,75,75,100,,,,03/29/2021      ,08:18:54        ,-97.044486,28.061152
15,Cedra Pharmacy,Other,,,Houston,,1607 South Post Oak Lane,77056,29.7512595,-95.4626579,0,0,0,0,100,,,,,,-95.462658,29.75126
16,Premise Health Wellness Center - Nearsite Plano,Community Clinic,,6835 COMMUNICATION PARKWAY SUITE 510,PLANO,COLLIN,"6835 Communications Parkway, Plano, TX, USA",75024,33.068756,-96.8306419,0,0,0,0,100,,,,03/29/2021      ,08:15:26        ,-96.830642,33.068756
17,Medpark Pharmacy,Other,,,San Marcos,,2004-a Medical Parkwaysuite A,78666,,,0,0,0,0,100,,,,,,,
18,"Agp Pharmacy, Llc Dba Hometown Phar",Other,,,Plainview,,3200 Olton Road Ste B,79072,,,0,0,0,0,100,,,,,,,
19,Lifecare Pharmacy,Pharmacy,,,Brownfield,,706 East Felt Street,79316,,,0,0,0,0,100,,,,,,,
20,Express Pharmacy#2,Other,,,Lockhart,,1724 S Colorado St,78644,,,0,0,0,0,200,,,,,,,
21,Legends Pharmacy,Pharmacy,,6601 Blanco Rd,San Antonio,Bexar,6601 Blanco Rd,78216,29.5161700898391,-98.5068416029713,0,0,0,0,700,210-434-2477,https://legendspharmacy.com/,,03/25/2021      ,07:08:47        ,-98.506842,29.51617
22,Pharmcare usa Addison,Other,,4275 Kellway Circle,Addison,Dallas,,75001,,,0,0,0,0,100,,,,,,,
23,Valleywide Pharmacy And Dme,Other,,,Brownsville,,680 Paredes Line Rd Suite B,78521,,,0,0,0,0,100,,,,,,,
24,Pharmcare USA San Marcos,Other,,2260 Ih 35 South,San Marcos,Hays,2260 Ih 35 South,78666,,,0,0,0,0,100,512-392-5790,,,,,,
25,Texan Pharmacy,Other,,,Round Rock,,7201 Wyoming Springs Dr St 300,78681,,,0,0,0,0,100,,,,,,,
26,Carrollton Pharmacy,Pharmacy,,,Carrollton,,3044 Old Denton Rd Ste 305,75007,,,0,0,0,0,100,,,,,,,
27,"Magenta Clinics, Inc.",Community Clinic,,4949 Rittiman Rd,San Antonio,Bexar,"4949 Rittiman Road, San Antonio, TX, USA",78218,29.4845595,-98.3933892,0,0,0,0,200,,,,03/29/2021      ,07:48:40        ,-98.393389,29.48456
