OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,x,y
1,Walgreens Pharmacy 05390,Pharmacy,,, Houston ,,8300 Wilcrest Dr,77072,30.0606886,-97.1600286,29,0,0,0,0,29,0,,,,04/17/2021      ,18:49:36        ,-97.160029,30.060689
2,Walgreens Pharmacy 09601,Pharmacy,,,,,"3755 ATASCOCITA RD Humble, TX 77396",,29.9799175450852,-95.2182115691454,0,0,0,0,60,60,0,(281) 812-4778,https://www.walgreens.com/locator/walgreens-3755+atascocita+rd-humble-tx-77396/id=9601,,04/17/2021      ,18:19:49        ,-95.218212,29.979918
3,Walgreens Pharmacy 04538,Pharmacy,,,,,"1180 CLEAR LAKE CITY BLVD Houston, TX 77062",,29.5808335214013,-95.1556571860489,0,0,0,0,45,45,0,(281) 218-0184,https://www.walgreens.com/locator/walgreens-1180+clear+lake+city+blvd-houston-tx-77062/id=4538,,04/17/2021      ,18:05:02        ,-95.155657,29.580834
4,Walgreens Pharmacy 03224,Pharmacy,,,,,"6901 SAN PEDRO AVE San Antonio, TX 78216",,29.5059290407028,-98.5006285879054,54,0,0,0,140,194,0,(210) 349-9809,https://www.walgreens.com/locator/walgreens-6901+san+pedro+ave-san+antonio-tx-78216/id=3224,,04/17/2021      ,17:42:27        ,-98.500629,29.505929
5,Walgreens Pharmacy 04316,Pharmacy,,,,,"10800 S POST OAK RD Houston, TX 77035",,29.6635275609564,-95.4644119157717,34,0,0,0,0,34,0,(713) 723-4774,https://www.walgreens.com/locator/walgreens-10800+s+post+oak+rd-houston-tx-77035/id=4316,,04/17/2021      ,17:51:19        ,-95.464412,29.663528
6,Walgreens Pharmacy 15681,Pharmacy,,,Katy,,9423 SPRING GREEN BLVD , 77494,29.699259,-95.8161889,30,0,0,0,65,95,0,,,,04/17/2021      ,17:11:08        ,-95.816189,29.699259
7,Walgreens Pharmacy 07112,Pharmacy,,,,,"4500 NORTH TARRANT PKWY Keller, TX 76244",,32.8931885198558,-97.2897101238698,35,0,0,0,0,35,0,(817) 485-2547,https://www.walgreens.com/locator/walgreens-4500+north+tarrant+pkwy-keller-tx-76244/id=7112,,04/17/2021      ,17:06:29        ,-97.28971,32.893189
8,GREENVILLE PHARMACY LLC,Pharmacy,,4209 Wesley St,Greenville,Hunt,"4209 Wesley Street, Greenville, TX, USA",75401,33.1269938,-96.1091506,0,80,0,0,0,80,0,(405) 361-5420,,,04/17/2021      ,14:36:20        ,-96.109151,33.126994
9,United Care Pharmacy,Federal Allocation,,1755 West Price Road Ste C,Brownsville,Cameron,1755 W PRICE RD STE C BROWNSVILLE 78520,78520,25.936612478483,-97.5018309036087,0,205,0,0,205,410,0,,,,04/17/2021      ,15:13:57        ,-97.501831,25.936612
10,Walgreens Pharmacy 05671,Pharmacy,,,,,"4445 KINGWOOD DR Kingwood, TX 77339",,30.0526042821985,-95.1859118061731,99,0,15,0,125,224,15,(281) 360-4694,https://www.walgreens.com/locator/walgreens-4445+kingwood+dr-kingwood-tx-77339/id=5671,,04/17/2021      ,13:55:55        ,-95.185912,30.052604
11,Moore County Internal Medicine,Other,,1405 E 1st St Ste 101,Dumas,Moore,1405 E 1st St Ste 101,79029,35.8652177120634,-101.955212574384,0,0,0,0,40,40,0,(806) 935-9194,http://www.moorecountyinternalmed.com/,,04/07/2021      ,14:47:00        ,-101.955213,35.865218
12,Brookshires Pharmacy 79,Pharmacy,,1705 W Audie Murphy Pkwy,Farmersville,Collin,1705 W Audie Murphy Pkwy,75442,33.1588567808075,-96.3887366821937,0,90,0,0,205,295,0,(972) 782-8601,https://www.brookshires.com/covid-19-information,,04/17/2021      ,10:36:52        ,-96.388737,33.158857
13,LC PHARMA OF UVALDE,Federal Allocation,,1001 East Main St,Uvalde,Uvalde,1001 East Main St,78802,29.2151634,-99.7722399,0,90,0,0,0,90,0,830-591-2014,,,04/17/2021      ,12:06:55        ,-99.77224,29.215163
14,Walgreens Pharmacy 05792,Pharmacy,,,,,"102 N TIMBERLAND DR Lufkin, TX 75901",,31.3359629184299,-94.7019082182473,620,440,622,450,545,1605,1072,(936) 699-2916,https://www.walgreens.com/locator/walgreens-102+n+timberland+dr-lufkin-tx-75901/id=5792,,04/17/2021      ,16:24:40        ,-94.701908,31.335963
15,Walgreens Pharmacy 06750,Pharmacy,,,,,"18535 CHAMPION FOREST DR Spring, TX 77379",,30.0336842588354,-95.5552597294048,23,0,0,0,60,83,0,(281) 370-4961,https://www.walgreens.com/locator/walgreens-18535+champion+forest+dr-spring-tx-77379/id=6750,,04/17/2021      ,11:10:11        ,-95.55526,30.033684
16,Walgreens Pharmacy 03570,Pharmacy,,,,,"890 N RESLER DR El Paso, TX 79912",,31.8589612078799,-106.558045873761,223,0,2,0,0,223,2,(915) 584-1359,https://www.walgreens.com/locator/walgreens-890+n+resler+dr-el+paso-tx-79912/id=3570,,04/17/2021      ,09:30:26        ,-106.558046,31.858961
17,James Haden Md,Medical Practice,,1000 College Ave,Fort Worth,Tarrant,1000 College Ave,76104,32.734023622579,-97.3350817977149,0,90,0,40,0,90,40,(817) 336-8855,http://www.allergyfortworth.com/,,04/13/2021      ,14:23:33        ,-97.335082,32.734024
18,Irving Regional Dialysis Center,Medical Practice,,2535 W Airport Freeway,Irving,Dallas,2535 W Airport Freeway,75062,32.8376374826013,-96.9808720410712,0,0,0,20,0,0,20,(972) 252-1656,http://www.americanrenaldallas.com/,,04/17/2021      ,22:11:49        ,-96.980872,32.837637
19,Internal Medicine Associates Of Plano,Medical Practice,,6124 W Parker Rd Ste 234,Plano,Collin,6124 W Parker Rd Ste 234,75093,33.045061071266,-96.8335574635417,0,600,0,10,0,600,10,(972) 468-9999,http://www.planointernist.com/,,03/25/2021      ,08:22:55        ,-96.833557,33.045061
20,Walgreens Pharmacy 06715,Pharmacy,,W UNIVERSITY BLVD, Odessa,odessa,"1305 W UNIVERSITY BLVD Odessa, TX 79764",79764,31.8645123752942,-102.397163582645,30,0,30,0,0,30,30,(432) 580-0166,https://www.walgreens.com/locator/walgreens-1305+w+university+blvd-odessa-tx-79764/id=6715,,04/17/2021      ,08:03:18        ,-102.397164,31.864512
21,Medly Pharmacy,Federal Allocation,,,San Antonio,Bexar,13331 Nacogdoches Rd,78217,30.3195496,-97.7056526,0,0,0,0,100,100,0,,,,04/17/2021      ,09:56:08        ,-97.705653,30.31955
22,EVERETTS PHARMACY,Federal Allocation,,,SAN SABA,,401 W WALLACE ST , 76877,31.1957522186294,-98.7240171443211,0,0,0,0,25,25,0,(325) 372-3033,RXEVERETTE@GMAIL.COM,,04/17/2021      ,09:17:33        ,-98.724017,31.195752
