OBJECTID,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LATITUDE,LONGITUDE,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE,RemoveRecord,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,CESenabled,x,y
1,Valdez Family Clinic,Medical Practice,,98 Briggs St,San Antonio,Bexar,"98 Briggs St Suite 800, San Antonio, TX 78224",78224,29.3543785,-98.5530894,0,10,0,0,0,10,0,+1210 927 9500,https://www.vfc-afw.com/,,05/04/2021      ,16:53:23        ,,-98.553089,29.354379
2,Amarillo Family Physicians CLINIC,Medical Practice,,"1215 S Coulter, Ste 100",Amarillo,,1215 Coulter Street South,79106,35.2017103,-101.9212431,0,50,0,0,0,50,0,(806) 359-4701,,,05/04/2021      ,09:02:56        ,,-101.921243,35.20171
3,Mt West Family Health Center,Medical Practice,,6151 Dew Dr,El Paso,El Paso,6151 Dew Dr,79912,31.8327005169507,-106.530426631929,2310,0,0,0,0,2310,0,(915) 298-3607,https://mtwesthealthcenter.com/,,04/29/2021      ,09:50:11        ,,-106.530427,31.832701
4,Nuestra Clinica Del Valle - Edcouch,Community Clinic,,1518 E Santa Rosa,Edcouch,,"1518 E Santa Rosa, Edcouch, TX 78538",78538,26.2941113,-97.9454372,0,40,0,0,120,160,0,(956) 262-1363,http://www.nuestraclinicadelvalle.org/,,05/04/2021      ,10:41:25        ,,-97.945437,26.294111
5,"Chez Therese Medical Center, P.A.",Medical Practice,,"6955 N mesa. suite 101, 101",El Paso,Texas,"6955 N mesa. suite 101, 101",79912,31.8348624,-106.5496604,200,180,0,0,0,380,0,(915) 269-0064,,,05/06/2021      ,12:55:01        ,,-106.54966,31.834862
6,Prime Care Health Solutions,Medical Practice,,2100 North Highway 360,Grand Praire,Dallas,2100 North Highway 360,75050,32.7880586104587,-97.0576399004818,0,300,0,0,0,300,0,+12146770834,http://primecarehs.com/,,05/03/2021      ,15:20:14        ,,-97.05764,32.788059
7,"Lehealth, Llc - Cleveland",Medical Practice,,,Cleveland ,,210 E HOUSTON ST,77327,30.3415478417389,-95.0866939544597,0,10,0,0,0,10,0,,,,05/06/2021      ,13:49:58        ,,-95.086694,30.341548
8,"Total Access Medical Directory, LLC",Other,,1946 Pasadena Blvd,Pasadena,Harris,1946 Pasadena Blvd Pasadena 77502,77502,29.6821080299832,-95.1903539882028,1980,0,0,0,0,1980,0,,,,05/06/2021      ,12:30:43        ,,-95.190354,29.682108
9,Kingsbrook Healthcare Services PLLC,Community Clinic,,1230 River Bend Dr,Dallas,Dallas,1230 RIVER BEND DR STE 100 Dallas 75247,75247,32.8169455961797,-96.8631552304737,1141,0,0,0,0,1141,0,,,,04/30/2021      ,23:48:46        ,,-96.863155,32.816946
10,ATX Primary Care,Other,,2301 North Loop Blvd,Austin,,2301 North Loop Blvd Austin 78756,78756,30.3253,-97.74275,0,0,0,0,10,10,0,(512) 452-2506,https://atxprimarycare.com/,,05/03/2021      ,14:33:12        ,,-97.74275,30.3253
